,Date,Open,High,Low,Close,Volume,Change
0,2019-03-21,2005,2010,1995,2000,721066,-0.25
1,2019-03-22,2000,2005,1995,2000,99591,0.0
2,2019-03-25,2000,2005,2000,2000,5330,0.0
3,2019-03-26,2000,2005,1995,2000,151189,0.0
4,2019-03-27,2000,2005,2000,2005,11544,0.25
5,2019-03-28,2000,2005,2000,2005,1179,0.0
6,2019-03-29,2000,2010,2000,2010,5266,0.25
7,2019-04-01,2000,2010,2000,2010,14623,0.0
8,2019-04-02,2005,2010,2005,2010,2039,0.0
9,2019-04-03,2010,2010,2005,2010,2846,0.0
10,2019-04-04,2005,2010,2005,2010,4717,0.0
11,2019-04-05,2010,2010,2005,2010,5629,0.0
12,2019-04-08,2010,2010,2005,2010,4843,0.0
13,2019-04-09,2005,2010,2005,2010,1164,0.0
14,2019-04-10,2010,2010,2005,2010,7417,0.0
15,2019-04-11,2010,2010,2005,2010,2779,0.0
16,2019-04-12,2010,2015,2005,2015,59616,0.25
17,2019-04-15,2010,2015,2010,2015,10356,0.0
18,2019-04-16,2010,2015,2010,2015,263,0.0
19,2019-04-17,2010,2015,2010,2010,8932,-0.25
20,2019-04-18,2015,2015,2010,2015,14452,0.25
21,2019-04-19,2015,2020,2010,2020,120822,0.25
22,2019-04-22,2020,2020,2010,2010,14357,-0.5
23,2019-04-23,2020,2020,2010,2010,23723,0.0
24,2019-04-24,2015,2015,2015,2015,3566,0.25
25,2019-04-25,2020,2020,2015,2015,1568,0.0
26,2019-04-26,2015,2020,2010,2015,44625,0.0
27,2019-04-29,2020,2020,2015,2020,35092,0.25
28,2019-04-30,2020,2025,2020,2025,10667,0.25
29,2019-05-02,2025,2025,2015,2015,23041,-0.49
30,2019-05-03,2020,2030,2015,2025,37962,0.5
31,2019-05-07,2035,2035,2020,2030,8180,0.25
32,2019-05-08,2035,2035,2025,2030,14861,0.0
33,2019-05-09,2035,2035,2030,2035,29643,0.25
34,2019-05-10,2035,2040,2035,2040,22441,0.25
35,2019-05-13,2045,2160,2040,2075,265391,1.72
36,2019-05-14,2080,2130,2040,2055,406546,-0.96
37,2019-05-15,2055,2070,2040,2060,46397,0.24
38,2019-05-16,2080,2080,2050,2065,37205,0.24
39,2019-05-17,2060,2065,2055,2060,9039,-0.24
40,2019-05-20,2060,2070,2050,2055,3972,-0.24
41,2019-05-21,2055,2060,2050,2055,16457,0.0
42,2019-05-22,2055,2070,2055,2060,271,0.24
43,2019-05-23,2070,2070,2055,2055,10658,-0.24
44,2019-05-24,2055,2075,2055,2070,5485,0.73
45,2019-05-27,2075,2075,2065,2075,6743,0.24
46,2019-05-28,2070,2070,2060,2070,15536,-0.24
47,2019-05-29,2070,2075,2050,2070,52254,0.0
48,2019-05-30,2060,2070,2050,2070,9952,0.0
49,2019-05-31,2070,2070,2070,2070,3039,0.0
50,2019-06-03,2070,2080,2070,2080,9514,0.48
51,2019-06-04,2085,2085,2065,2070,9664,-0.48
52,2019-06-05,2070,2080,2060,2080,18703,0.48
53,2019-06-07,2080,2090,2080,2090,7173,0.48
54,2019-06-10,2090,2090,2080,2090,13516,0.0
55,2019-06-11,2090,2090,2090,2090,3101,0.0
56,2019-06-12,2080,2090,2080,2090,2973,0.0
57,2019-06-13,2080,2100,2080,2100,16819,0.48
58,2019-06-14,2090,2100,2090,2100,8050,0.0
59,2019-06-17,2105,2110,2105,2105,15740,0.24
60,2019-06-18,2110,2115,2110,2115,2015,0.48
61,2019-06-19,2100,2115,2100,2115,6726,0.0
62,2019-06-20,2115,2120,2110,2110,10648,-0.24
63,2019-06-21,2110,2110,2100,2100,16926,-0.47
64,2019-06-24,2110,2110,2100,2105,4675,0.24
65,2019-06-25,2115,2115,2100,2110,38645,0.24
66,2019-06-26,2105,2120,2105,2110,46666,0.0
67,2019-06-27,2105,2120,2105,2120,659,0.47
68,2019-06-28,2105,2120,2105,2120,10000,0.0
69,2019-07-01,2115,2125,2095,2125,9758,0.24
70,2019-07-02,2100,2120,2100,2120,5551,-0.24
71,2019-07-03,2120,2120,2120,2120,1683,0.0
72,2019-07-04,2125,2125,2120,2120,3,0.0
73,2019-07-05,2100,2110,2100,2110,5470,-0.47
74,2019-07-08,2100,2105,2100,2100,13712,-0.47
75,2019-07-09,2110,2110,2105,2110,10321,0.48
76,2019-07-10,2110,2110,2110,2110,3927,0.0
77,2019-07-11,2100,2120,2100,2120,3779,0.47
78,2019-07-12,2120,2120,2115,2115,7618,-0.24
79,2019-07-15,2110,2110,2100,2100,4807,-0.71
80,2019-07-16,2095,2105,2080,2105,7533,0.24
81,2019-07-17,2100,2100,2080,2100,1991,-0.24
82,2019-07-18,2085,2100,2085,2100,606,0.0
83,2019-07-19,2100,2100,2090,2100,2472,0.0
84,2019-07-22,2100,2100,2090,2100,13165,0.0
85,2019-07-23,2105,2115,2105,2115,801,0.71
86,2019-07-24,2120,2120,2120,2120,1026,0.24
87,2019-07-25,2115,2120,2115,2120,1718,0.0
88,2019-07-26,2125,2125,2125,2125,30,0.24
89,2019-07-29,2100,2100,2095,2095,1646,-1.41
90,2019-07-30,2085,2130,2085,2120,2135,1.19
91,2019-07-31,2130,2135,2095,2130,54,0.47
92,2019-08-01,2100,2125,2100,2125,1599,-0.23
93,2019-08-02,2125,2125,2125,2125,2,0.0
94,2019-08-05,2145,2145,2095,2095,14759,-1.41
95,2019-08-06,2080,2090,2075,2085,22165,-0.48
96,2019-08-07,2085,2095,2085,2085,862,0.0
97,2019-08-08,2070,2090,2070,2090,699,0.24
98,2019-08-09,2080,2100,2075,2100,2744,0.48
99,2019-08-12,2100,2100,2095,2100,5420,0.0
100,2019-08-13,2100,2100,2095,2095,1232,-0.24
101,2019-08-14,2085,2090,2085,2085,1354,-0.48
102,2019-08-16,2095,2095,2095,2095,1225,0.48
103,2019-08-19,2095,2095,2090,2095,602,0.0
104,2019-08-20,2100,2100,2070,2070,4073,-1.19
105,2019-08-21,2080,2085,2080,2080,1271,0.48
106,2019-08-22,2080,2100,2075,2100,236,0.96
107,2019-08-23,2100,2100,2100,2100,787,0.0
108,2019-08-26,2095,2100,2095,2100,7198,0.0
109,2019-08-27,2095,2095,2060,2090,31622,-0.48
110,2019-08-28,2090,2090,2085,2090,2906,0.0
111,2019-08-29,2070,2090,2070,2090,276,0.0
112,2019-08-30,2060,2105,2060,2100,57,0.48
113,2019-09-02,2115,2115,2085,2110,345,0.48
114,2019-09-03,0,0,0,2100,0,-0.47
115,2019-09-04,2095,2095,2095,2095,75,-0.24
116,2019-09-05,2095,2095,2080,2080,1358,-0.72
117,2019-09-06,2080,2085,2070,2080,5521,0.0
118,2019-09-09,2095,2095,2080,2080,1891,0.0
119,2019-09-10,2090,2090,2080,2090,8722,0.48
120,2019-09-11,2090,2090,2080,2080,2490,-0.48
121,2019-09-16,2090,2090,2080,2080,1133,0.0
122,2019-09-17,2080,2080,2080,2080,5,0.0
123,2019-09-18,2080,2085,2080,2085,9329,0.24
124,2019-09-19,2085,2100,2085,2100,4718,0.72
125,2019-09-20,2100,2105,2100,2105,5165,0.24
126,2019-09-23,2100,2110,2100,2110,2806,0.24
127,2019-09-24,2100,2100,2100,2100,14,-0.47
128,2019-09-25,2100,2100,2100,2100,1103,0.0
129,2019-09-26,2100,2100,2080,2080,2306,-0.95
130,2019-09-27,2140,2140,2085,2115,136,1.68
131,2019-09-30,2115,2190,2115,2190,20021,3.55
132,2019-10-01,2180,2180,2120,2140,4065,-2.28
133,2019-10-02,2100,2125,2100,2125,3702,-0.7
134,2019-10-04,2190,2190,2075,2085,17975,-1.88
135,2019-10-07,2120,2120,2085,2085,3543,0.0
136,2019-10-08,2115,2115,2085,2090,3517,0.24
137,2019-10-10,2120,2120,2080,2105,1197,0.72
138,2019-10-11,2075,2105,2075,2095,412,-0.48
139,2019-10-14,2100,2100,2075,2090,371,-0.24
140,2019-10-15,2085,2090,2085,2090,4852,0.0
141,2019-10-16,2070,2095,2065,2090,10051,0.0
142,2019-10-17,2080,2090,2080,2090,2659,0.0
143,2019-10-18,2080,2085,2055,2080,7093,-0.48
144,2019-10-21,2090,2090,2060,2085,231,0.24
145,2019-10-22,2065,2085,2065,2085,2,0.0
146,2019-10-23,2080,2080,2080,2080,50,-0.24
147,2019-10-24,2060,2080,2060,2080,323,0.0
148,2019-10-25,2050,2075,2050,2075,496,-0.24
149,2019-10-28,0,0,0,2070,0,-0.24
150,2019-10-29,2055,2060,2055,2060,11053,-0.48
