,Date,Open,High,Low,Close,Volume,Change
0,2019-06-24,2300,2990,2160,2990,35662448,30.0
1,2019-06-25,3150,3300,2355,2495,18135014,-16.56
2,2019-06-26,2480,2640,2265,2300,7924389,-7.82
3,2019-06-27,2350,2390,2180,2215,5522457,-3.7
4,2019-06-28,2250,2290,2135,2165,3409323,-2.26
5,2019-07-01,2135,2175,2090,2095,2051606,-3.23
6,2019-07-02,2090,2115,2070,2080,1361893,-0.72
7,2019-07-03,2085,2105,2070,2075,1406607,-0.24
8,2019-07-04,2085,2125,2075,2075,924764,0.0
9,2019-07-05,2075,2140,2065,2110,1163781,1.69
10,2019-07-08,2110,2135,2075,2075,698827,-1.66
11,2019-07-09,2080,2095,2070,2070,515422,-0.24
12,2019-07-10,2075,2075,2060,2065,471534,-0.24
13,2019-07-11,2075,2085,2065,2070,331985,0.24
14,2019-07-12,2070,2080,2065,2075,234162,0.24
15,2019-07-15,2070,2080,2065,2070,331644,-0.24
16,2019-07-16,2075,2080,2060,2065,342330,-0.24
17,2019-07-17,2070,2070,2055,2060,334504,-0.24
18,2019-07-18,2060,2065,2050,2060,178821,0.0
19,2019-07-19,2060,2065,2050,2060,166012,0.0
20,2019-07-22,2065,2165,2055,2085,1536698,1.21
21,2019-07-23,2080,2090,2065,2065,450551,-0.96
22,2019-07-24,2070,2080,2060,2060,317452,-0.24
23,2019-07-25,2070,2070,2060,2060,164829,0.0
24,2019-07-26,2065,2070,2055,2055,197662,-0.24
25,2019-07-29,2060,2065,2050,2050,202450,-0.24
26,2019-07-30,2055,2065,2050,2055,61723,0.24
27,2019-07-31,2055,2060,2045,2060,170545,0.24
28,2019-08-01,2055,2065,2050,2055,124429,-0.24
29,2019-08-02,2060,2065,2055,2055,117089,0.0
30,2019-08-05,2055,2060,2040,2050,164805,-0.24
31,2019-08-06,2050,2055,2030,2045,210370,-0.24
32,2019-08-07,2055,2055,2040,2040,123849,-0.24
33,2019-08-08,2040,2055,2040,2050,70851,0.49
34,2019-08-09,2055,2055,2040,2050,83704,0.0
35,2019-08-12,2050,2055,2045,2055,61337,0.24
36,2019-08-13,2050,2060,2045,2060,70469,0.24
37,2019-08-14,2060,2065,2045,2060,53341,0.0
38,2019-08-16,2060,2070,2050,2065,98722,0.24
39,2019-08-19,2070,2070,2050,2065,46760,0.0
40,2019-08-20,2070,2070,2050,2060,98256,-0.24
41,2019-08-21,2060,2075,2055,2065,62870,0.24
42,2019-08-22,2060,2065,2055,2060,54748,-0.24
43,2019-08-23,2065,2070,2055,2060,34917,0.0
44,2019-08-26,2050,2065,2050,2055,46364,-0.24
45,2019-08-27,2060,2065,2050,2055,57545,0.0
46,2019-08-28,2050,2060,2050,2060,15534,0.24
47,2019-08-29,2055,2065,2050,2060,68900,0.0
48,2019-08-30,2055,2065,2055,2060,44202,0.0
49,2019-09-02,2060,2065,2055,2065,30835,0.24
50,2019-09-03,2055,2070,2055,2065,68662,0.0
51,2019-09-04,2065,2065,2060,2060,21110,-0.24
52,2019-09-05,2060,2060,2050,2050,40910,-0.49
53,2019-09-06,2050,2060,2050,2050,16705,0.0
54,2019-09-09,2055,2060,2050,2060,14776,0.49
55,2019-09-10,2055,2060,2055,2055,34691,-0.24
56,2019-09-11,2055,2065,2055,2060,22468,0.24
57,2019-09-16,2065,2070,2060,2060,23924,0.0
58,2019-09-17,2055,2065,2050,2060,114951,0.0
59,2019-09-18,2065,2070,2055,2055,60407,-0.24
60,2019-09-19,2055,2070,2055,2070,48391,0.73
61,2019-09-20,2060,2075,2060,2070,76872,0.0
62,2019-09-23,2070,2075,2065,2075,31629,0.24
63,2019-09-24,2065,2070,2065,2065,19784,-0.48
64,2019-09-25,2065,2075,2060,2075,57665,0.48
65,2019-09-26,2080,2080,2065,2075,20667,0.0
66,2019-09-27,2075,2095,2070,2085,47070,0.48
67,2019-09-30,2085,2090,2070,2080,14372,-0.24
68,2019-10-01,2085,2085,2075,2080,19639,0.0
69,2019-10-02,2085,2085,2065,2080,29700,0.0
70,2019-10-04,2075,2085,2065,2075,21555,-0.24
71,2019-10-07,2065,2080,2065,2070,32270,-0.24
72,2019-10-08,2065,2070,2060,2065,49164,-0.24
73,2019-10-10,2065,2080,2060,2080,46251,0.73
74,2019-10-11,2080,2080,2065,2070,6645,-0.48
75,2019-10-14,2070,2070,2055,2065,11903,-0.24
76,2019-10-15,2060,2065,2060,2065,11162,0.0
77,2019-10-16,2060,2070,2060,2065,5686,0.0
78,2019-10-17,2065,2070,2055,2070,10585,0.24
79,2019-10-18,2055,2070,2055,2060,6524,-0.48
80,2019-10-21,2055,2070,2050,2055,14745,-0.24
81,2019-10-22,2055,2060,2045,2055,21395,0.0
82,2019-10-23,2065,2065,2040,2050,21644,-0.24
83,2019-10-24,2055,2055,2030,2045,58334,-0.24
84,2019-10-25,2040,2045,2035,2045,8584,0.0
85,2019-10-28,2045,2045,2035,2040,8726,-0.24
86,2019-10-29,2040,2050,2035,2040,17373,0.0
87,2019-10-30,2030,2055,2030,2035,14148,-0.25
88,2019-10-31,2050,2055,2030,2050,20894,0.74
89,2019-11-01,2060,2060,2030,2050,18837,0.0
90,2019-11-04,2035,2050,2035,2050,2788,0.0
91,2019-11-05,2040,2050,2000,2045,62075,-0.24
92,2019-11-06,2020,2055,2020,2025,16834,-0.98
93,2019-11-07,2030,2040,2015,2035,73229,0.49
94,2019-11-08,2040,2045,2025,2040,10702,0.25
95,2019-11-11,2030,2045,2025,2045,11560,0.25
96,2019-11-12,2040,2045,2030,2030,14594,-0.73
97,2019-11-13,2045,2045,2025,2035,10820,0.25
98,2019-11-14,2030,2045,2025,2030,3357,-0.25
99,2019-11-15,2035,2035,2025,2030,15751,0.0
100,2019-11-18,2035,2035,2020,2030,11228,0.0
101,2019-11-19,2035,2035,2020,2020,15166,-0.49
102,2019-11-20,2025,2025,2020,2025,25992,0.25
103,2019-11-21,2030,2030,2015,2025,21584,0.0
104,2019-11-22,2025,2025,2000,2025,147887,0.0
105,2019-11-25,2010,2025,2010,2020,26604,-0.25
106,2019-11-26,2020,2025,2020,2020,29763,0.0
107,2019-11-27,2020,2025,2015,2020,27001,0.0
108,2019-11-28,2025,2025,2015,2020,49328,0.0
109,2019-11-29,2020,2025,2010,2020,20764,0.0
110,2019-12-02,2020,2020,2015,2020,64599,0.0
111,2019-12-03,2020,2020,2015,2020,8959,0.0
112,2019-12-04,2020,2020,2015,2020,4029,0.0
113,2019-12-05,2015,2020,2010,2015,72492,-0.25
114,2019-12-06,2015,2020,2015,2015,34014,0.0
115,2019-12-09,2005,2015,2000,2010,59666,-0.25
116,2019-12-10,2010,2010,2000,2010,12565,0.0
117,2019-12-11,2010,2015,2010,2015,24743,0.25
118,2019-12-12,2020,2020,2010,2015,16647,0.0
119,2019-12-13,2010,2020,2005,2020,59064,0.25
120,2019-12-16,2020,2020,2010,2010,2385,-0.5
121,2019-12-17,2015,2015,2000,2015,25856,0.25
122,2019-12-18,2010,2015,2000,2015,10645,0.0
123,2019-12-19,2010,2020,2005,2015,14490,0.0
124,2019-12-20,2005,2010,2005,2010,3020,-0.25
125,2019-12-23,2010,2010,2000,2010,12361,0.0
126,2019-12-24,2010,2010,2000,2005,30704,-0.25
127,2019-12-26,2000,2005,2000,2005,15930,0.0
128,2019-12-27,2000,2010,1995,2010,48032,0.25
129,2019-12-30,2000,2030,2000,2005,41886,-0.25
130,2020-01-02,2005,2020,2000,2015,14473,0.5
131,2020-01-03,2015,2015,2010,2015,29366,0.0
