,Date,Open,High,Low,Close,Volume,Change
0,2019-10-30,5843,6330,5726,6331,46404235,NaN
1,2019-10-31,6691,6915,6136,6331,38408579,0.0
2,2019-11-01,6233,6340,6077,6194,6700382,-2.16
3,2019-11-04,6243,6262,5999,6224,5210989,0.48
4,2019-11-05,6262,6564,6223,6457,7915709,3.74
5,2019-11-06,6496,6506,6379,6389,2980757,-1.05
6,2019-11-07,6389,6496,6369,6496,2137229,1.67
7,2019-11-08,6515,6603,6428,6516,2854791,0.31
8,2019-11-11,6554,6574,6467,6496,1108408,-0.31
9,2019-11-12,6496,6496,6389,6467,1282530,-0.45
10,2019-11-13,6467,6476,6350,6409,1121009,-0.9
11,2019-11-14,6437,6447,6301,6360,991037,-0.76
12,2019-11-15,6360,6379,6252,6360,1256940,0.0
13,2019-11-18,6340,6360,6233,6243,1114369,-1.84
14,2019-11-19,6252,6399,6213,6370,1176136,2.03
15,2019-11-20,6369,6369,6301,6341,581972,-0.46
16,2019-11-21,6360,6360,6252,6341,608379,0.0
17,2019-11-22,6340,6389,6301,6341,775095,0.0
18,2019-11-25,6340,6360,6282,6331,521965,-0.16
19,2019-11-26,6291,6340,6282,6292,544418,-0.62
20,2019-11-27,6291,6360,6282,6331,706123,0.62
21,2019-11-28,6330,6340,6291,6331,431182,0.0
22,2019-11-29,6301,6340,6301,6331,591326,0.0
23,2019-12-02,6252,6282,6106,6175,3028271,-2.46
24,2019-12-03,6116,6126,6009,6058,1651227,-1.89
25,2019-12-04,6058,6213,6048,6214,805995,2.58
26,2019-12-05,6291,6311,6194,6243,954977,0.47
27,2019-12-06,6213,6233,6106,6136,947314,-1.71
28,2019-12-09,6136,6136,6028,6097,771485,-0.64
29,2019-12-10,6097,6184,6077,6146,782200,0.8
30,2019-12-11,6126,6175,6097,6146,851236,0.0
31,2019-12-12,6126,6145,6106,6136,812025,-0.16
32,2019-12-13,6136,6136,6087,6126,1466414,-0.16
33,2019-12-16,6126,6233,6097,6194,1387578,1.11
34,2019-12-17,6194,6194,6097,6136,505694,-0.94
35,2019-12-18,6106,6136,6077,6097,523196,-0.64
36,2019-12-19,6097,6097,6019,6068,840559,-0.48
37,2019-12-20,6087,6126,6019,6087,472564,0.31
38,2019-12-23,6097,6136,6087,6107,395313,0.33
39,2019-12-24,6136,6136,6038,6078,487548,-0.47
40,2019-12-26,6077,6097,6048,6078,870457,0.0
41,2019-12-27,6019,6106,5970,6068,889765,-0.16
42,2019-12-30,6067,6067,5980,6000,472652,-1.12
43,2020-01-02,5989,5999,5892,5970,657374,-0.5
44,2020-01-03,5941,5980,5912,5941,547978,-0.49
45,2020-01-06,5882,5931,5834,5902,1005203,-0.66
46,2020-01-07,5902,5921,5804,5824,829605,-1.32
47,2020-01-08,5824,5824,5697,5756,1134397,-1.17
48,2020-01-09,5775,5843,5765,5776,410833,0.35
49,2020-01-10,5785,5814,5668,5698,712144,-1.35
50,2020-01-13,5678,5697,5522,5561,1529322,-2.4
51,2020-01-14,5541,5541,5366,5454,2336803,-1.92
52,2020-01-15,5425,5580,5415,5581,947336,2.33
53,2020-01-16,5580,5629,5532,5581,473297,0.0
54,2020-01-17,5561,5600,5522,5591,574737,0.18
55,2020-01-20,5600,5610,5541,5552,406378,-0.7
56,2020-01-21,5541,5571,5532,5561,465386,0.16
57,2020-01-22,5561,5580,5483,5513,379317,-0.86
58,2020-01-23,5483,5502,5395,5396,1011815,-2.12
59,2020-01-28,5317,5356,5210,5250,1410318,-2.71
60,2020-01-29,5278,5444,5278,5425,472340,3.33
61,2020-01-30,5298,5444,5288,5425,1451177,0.0
62,2020-01-31,5425,5483,5356,5483,832302,1.07
63,2020-02-03,5454,5590,5366,5571,904480,1.6
64,2020-02-04,5590,5590,5502,5561,446948,-0.18
65,2020-02-05,5571,5629,5532,5561,335269,0.0
66,2020-02-06,5561,5619,5551,5591,367653,0.54
67,2020-02-07,5619,5619,5551,5591,351043,0.0
68,2020-02-10,5590,5610,5571,5610,198569,0.34
69,2020-02-11,5610,5629,5590,5600,430434,-0.18
70,2020-02-12,5590,5590,5522,5552,532062,-0.86
71,2020-02-13,5561,5561,5512,5532,321925,-0.36
72,2020-02-14,5454,5483,5366,5464,1427961,-1.23
73,2020-02-17,5395,5454,5337,5357,806333,-1.96
74,2020-02-18,5347,5356,5317,5347,444986,-0.19
75,2020-02-19,5337,5425,5337,5425,381974,1.46
76,2020-02-20,5405,5425,5356,5396,344826,-0.53
77,2020-02-21,5395,5395,5337,5347,703562,-0.91
78,2020-02-24,5288,5308,5191,5211,1579263,-2.54
79,2020-02-25,5201,5240,5171,5230,720278,0.36
80,2020-02-26,5162,5230,5152,5221,475772,-0.17
81,2020-02-27,5220,5240,5142,5191,527191,-0.57
82,2020-02-28,5162,5162,4947,4958,1384005,-4.49
83,2020-03-02,4928,5035,4918,5026,445194,1.37
84,2020-03-03,5074,5113,5025,5084,356812,1.15
85,2020-03-04,5054,5230,5035,5221,772383,2.69
86,2020-03-05,5249,5288,5201,5279,778135,1.11
87,2020-03-06,5201,5259,5201,5230,324880,-0.93
88,2020-03-09,5152,5201,5113,5172,518601,-1.11
89,2020-03-10,5123,5259,5093,5240,424607,1.31
90,2020-03-11,5278,5278,5162,5221,412192,-0.36
91,2020-03-12,5162,5220,4996,5026,775600,-3.73
92,2020-03-13,4811,4850,4572,4729,1861648,-5.91
93,2020-03-16,4728,4938,4718,4724,944808,-0.11
94,2020-03-17,4709,4869,4577,4870,688334,3.09
95,2020-03-18,4869,4947,4835,4850,401735,-0.41
96,2020-03-19,4821,4840,4421,4558,1279344,-6.02
97,2020-03-20,4723,4723,4465,4558,984153,0.0
98,2020-03-23,4373,4470,4319,4359,945277,-4.37
99,2020-03-24,4382,4412,4348,4402,658030,0.99
100,2020-03-25,4509,4597,4485,4563,679400,3.66
101,2020-03-26,4587,4762,4533,4695,665983,2.89
102,2020-03-27,4762,4821,4694,4782,567659,1.85
103,2020-03-30,4714,4865,4577,4860,471312,1.63
104,2020-03-31,4869,4986,4865,4938,373604,1.6
105,2020-04-01,4938,4938,4860,4870,396251,-1.38
106,2020-04-02,4850,4865,4772,4846,236118,-0.49
107,2020-04-03,4899,4899,4791,4821,217894,-0.52
108,2020-04-06,4762,4855,4762,4831,303947,0.21
109,2020-04-07,4879,4889,4782,4811,637869,-0.41
110,2020-04-08,4821,4821,4762,4787,344330,-0.5
111,2020-04-09,4821,4830,4782,4831,352976,0.92
112,2020-04-10,4835,4928,4821,4919,624597,1.82
113,2020-04-13,4899,4908,4835,4899,296296,-0.41
114,2020-04-14,4899,4918,4860,4865,383825,-0.69
115,2020-04-16,4860,4928,4840,4870,373052,0.1
116,2020-04-17,4879,5064,4869,5055,740396,3.8
117,2020-04-20,5045,5093,4977,5074,506921,0.38
118,2020-04-21,5064,5074,4938,5045,444535,-0.57
119,2020-04-22,5025,5230,4938,5230,1359241,3.67
120,2020-04-23,5278,5327,5162,5221,775803,-0.17
121,2020-04-24,5181,5191,5015,5104,622483,-2.24
122,2020-04-27,5113,5123,4996,5104,311769,0.0
123,2020-04-28,5123,5278,5113,5230,1036178,2.47
124,2020-04-29,5240,5240,5093,5162,552237,-1.3
125,2020-05-04,5093,5181,4967,4987,953170,-3.39
126,2020-05-06,5035,5113,4996,5113,243665,2.53
127,2020-05-07,5123,5123,5006,5026,374974,-1.7
