,Date,Open,High,Low,Close,Volume,Change
0,2020-08-13,8613,8780,7745,7812,6194129,NaN
1,2020-08-14,7878,8045,7678,7879,785962,0.86
2,2020-08-18,7812,7878,7311,7311,714635,-7.21
3,2020-08-19,7244,7611,7244,7378,378589,0.92
4,2020-08-20,7511,8045,7378,7478,821215,1.36
5,2020-08-21,7478,7778,7211,7712,381756,3.13
6,2020-08-24,7678,8513,7444,8179,734050,6.06
7,2020-08-25,8179,8747,8112,8346,562133,2.04
8,2020-08-26,8446,8513,8146,8346,367061,0.0
9,2020-08-27,8346,8346,8045,8146,198400,-2.4
10,2020-08-28,8112,9581,8112,8447,1396549,3.7
11,2020-08-31,8580,9147,8446,8914,517589,5.53
12,2020-09-01,9047,9481,8913,8914,370143,0.0
13,2020-09-02,8913,9347,8913,9348,348571,4.87
14,2020-09-03,9347,9414,9014,9114,313104,-2.5
15,2020-09-04,8680,8947,8513,8780,232326,-3.66
16,2020-09-07,8780,8913,8112,8380,431733,-4.56
17,2020-09-08,8513,8713,8179,8346,283262,-0.41
18,2020-09-09,8146,9281,8112,8780,306827,5.2
19,2020-09-10,8747,9181,8646,9081,264568,3.43
20,2020-09-11,9080,9347,8813,9014,199451,-0.74
21,2020-09-14,9047,9347,8813,8914,315265,-1.11
22,2020-09-15,8947,9181,8747,8947,357657,0.37
23,2020-09-16,9080,9214,8646,8780,418369,-1.87
24,2020-09-17,8947,9247,8680,8747,411622,-0.38
25,2020-09-18,8747,8880,8313,8480,267785,-3.05
26,2020-09-21,8747,8780,8212,8280,205357,-2.36
27,2020-09-22,8146,8479,7912,8246,148513,-0.41
28,2020-09-23,8446,8546,8146,8246,78002,0.0
29,2020-09-24,8045,8179,7645,7812,182110,-5.26
30,2020-09-25,7979,8079,7712,7745,86966,-0.86
31,2020-09-28,7778,8079,7778,8079,54032,4.31
32,2020-09-29,8146,8446,8146,8246,77252,2.07
33,2020-10-05,8246,8513,8179,8213,137077,-0.4
34,2020-10-06,8446,8446,8012,8113,107139,-1.22
35,2020-10-07,8112,8413,8012,8280,143081,2.06
36,2020-10-08,8413,8880,8212,8747,271048,5.64
37,2020-10-12,8913,9047,8747,8947,273010,2.29
38,2020-10-13,9047,9247,8680,8780,306462,-1.87
39,2020-10-14,8980,8980,8613,8680,88601,-1.14
40,2020-10-15,8680,8680,8146,8246,181510,-5.0
41,2020-10-16,8112,8446,8045,8179,66635,-0.81
42,2020-10-19,8146,8279,7979,8179,54377,0.0
43,2020-10-20,7945,8479,7945,8346,79027,2.04
44,2020-10-21,8246,8446,8246,8313,26417,-0.4
45,2020-10-22,8346,8346,7912,7946,84966,-4.41
46,2020-10-23,8012,8112,7979,7979,25745,0.42
47,2020-10-26,8012,8146,7678,8013,70315,0.43
48,2020-10-27,8012,8012,7845,7912,28878,-1.26
49,2020-10-28,7912,8012,7812,7912,43832,0.0
50,2020-10-29,7745,7945,7645,7879,79046,-0.42
51,2020-10-30,7979,7979,7611,7612,64347,-3.39
52,2020-11-02,7611,7912,7411,7478,147728,-1.76
53,2020-11-03,7478,7945,7344,7478,179329,0.0
54,2020-11-04,7511,7645,7411,7445,80050,-0.44
55,2020-11-05,7478,7578,7177,7545,580622,1.34
56,2020-11-06,7678,7712,7144,7178,588955,-4.86
57,2020-11-09,7211,7344,7144,7245,257256,0.93
58,2020-11-10,7344,7411,7177,7311,310616,0.91
59,2020-11-11,7344,7444,7278,7412,251824,1.38
60,2020-11-12,7344,7444,7278,7345,139345,-0.9
61,2020-11-13,7411,7745,7278,7612,332662,3.64
62,2020-11-16,7578,8212,7578,7946,418007,4.39
63,2020-11-17,7945,7979,7712,7812,135674,-1.69
64,2020-11-18,7845,8146,7778,7846,161088,0.44
65,2020-11-19,7812,7979,7745,7812,83753,-0.43
66,2020-11-20,7878,8179,7845,8113,200227,3.85
67,2020-11-23,8212,8212,7945,8046,113564,-0.83
68,2020-11-24,8045,8112,7912,8013,111917,-0.41
69,2020-11-25,8045,8079,7745,7812,119546,-2.51
70,2020-11-26,7745,8112,7678,7979,210209,2.14
71,2020-11-27,8079,8079,7778,7912,115352,-0.84
72,2020-11-30,7945,7945,7712,7812,140159,-1.26
73,2020-12-01,7778,7945,7712,7812,71085,0.0
74,2020-12-02,7845,7878,7712,7712,87259,-1.28
75,2020-12-03,7745,7778,7511,7545,101276,-2.17
76,2020-12-04,7545,7678,7411,7512,77867,-0.44
77,2020-12-07,7511,7678,7411,7445,84149,-0.89
78,2020-12-08,7478,7511,7411,7478,53430,0.44
79,2020-12-09,7478,7778,7444,7612,79870,1.79
80,2020-12-10,7611,7645,7411,7445,98598,-2.19
81,2020-12-11,7444,7578,7411,7579,78371,1.8
82,2020-12-14,7578,7745,7578,7612,117885,0.44
83,2020-12-15,7611,7678,7511,7679,68730,0.88
84,2020-12-16,7678,7745,7444,7612,118587,-0.87
85,2020-12-17,7611,7745,7010,7512,342082,-1.31
86,2020-12-18,7545,7611,7344,7478,152350,-0.45
87,2020-12-21,7444,7444,6743,7211,742505,-3.57
88,2020-12-22,7311,7311,7044,7078,96909,-1.84
89,2020-12-23,7077,7211,6977,7078,116255,0.0
90,2020-12-24,7077,7244,6977,7178,168747,1.41
91,2020-12-28,7177,7177,6877,6911,104740,-3.72
92,2020-12-29,6944,7044,6677,6944,248076,0.48
93,2020-12-30,6944,7144,6877,7145,96482,2.89
94,2021-01-04,7144,7211,6944,6978,148979,-2.34
95,2021-01-05,6977,7044,6810,6978,126125,0.0
96,2021-01-06,7044,7111,6844,7078,210643,1.43
97,2021-01-07,7111,7278,6977,7278,206041,2.83
98,2021-01-08,7411,7411,7044,7145,319338,-1.83
99,2021-01-11,7077,7177,6810,6877,257339,-3.75
100,2021-01-12,6944,7344,6810,7345,223378,6.81
101,2021-01-13,7344,7378,7177,7311,142699,-0.46
102,2021-01-14,7311,7478,7311,7445,152054,1.83
103,2021-01-15,7478,7478,7144,7211,169033,-3.14
104,2021-01-18,7211,7378,7144,7278,132349,0.93
105,2021-01-19,7411,7511,7244,7245,143543,-0.45
106,2021-01-20,7344,8847,7244,8146,965766,12.44
107,2021-01-21,8212,8279,7845,8079,441541,-0.82
108,2021-01-22,8012,8713,7945,8380,674122,3.73
109,2021-01-25,8479,8780,8379,8547,632288,1.99
110,2021-01-26,8513,8513,8146,8179,227712,-4.31
111,2021-01-27,8212,8279,7845,7846,246813,-4.07
112,2021-01-28,7611,7812,7378,7412,383618,-5.53
113,2021-01-29,7511,7611,7044,7245,197118,-2.25
114,2021-02-01,7111,7578,7111,7378,97735,1.84
115,2021-02-02,7578,7912,7444,7912,270009,7.24
116,2021-02-03,7979,8346,7812,7879,588356,-0.42
117,2021-02-04,7845,7912,7545,7579,156663,-3.81
118,2021-02-05,7611,7712,7244,7311,257521,-3.54
119,2021-02-08,7311,7478,7244,7311,248279,0.0
120,2021-02-09,7311,7611,7211,7278,273154,-0.45
121,2021-02-10,7311,7444,7244,7245,177032,-0.45
122,2021-02-15,7311,7444,7211,7345,360681,1.38
123,2021-02-16,7378,7511,7211,7278,379210,-0.91
124,2021-02-17,7378,7678,7378,7645,561728,5.04
125,2021-02-18,7745,7778,7511,7645,377172,0.0
126,2021-02-19,7611,7678,7344,7579,236848,-0.86
127,2021-02-22,7545,7645,7411,7412,327767,-2.2
128,2021-02-23,7344,7478,7311,7345,226459,-0.9
129,2021-02-24,7344,7444,7044,7078,286212,-3.64
130,2021-02-25,7211,7311,7144,7245,101114,2.36
131,2021-02-26,7144,7311,6944,7011,220869,-3.23
132,2021-03-02,7177,7244,7077,7111,113525,1.43
133,2021-03-03,7144,7344,7077,7245,106757,1.88
134,2021-03-04,7278,7278,6977,7278,110684,0.46
135,2021-03-05,7144,7378,7144,7345,117663,0.92
136,2021-03-08,7478,7778,7344,7378,399750,0.45
137,2021-03-09,7411,7611,7111,7412,206498,0.46
138,2021-03-10,7545,7645,7144,7145,220553,-3.6
139,2021-03-11,7211,7278,7111,7178,157474,0.46
140,2021-03-12,7278,7344,7211,7278,117423,1.39
141,2021-03-15,7278,7378,7211,7311,92314,0.45
142,2021-03-16,7344,7511,7344,7412,215842,1.38
143,2021-03-17,7444,7545,7311,7412,172633,0.0
144,2021-03-18,7478,7578,7344,7412,178408,0.0
145,2021-03-19,7344,7411,7278,7311,96425,-1.36
146,2021-03-22,7311,7344,7177,7278,140108,-0.45
147,2021-03-23,7344,7344,7111,7245,146274,-0.45
148,2021-03-24,7211,7278,7144,7211,146990,-0.47
149,2021-03-25,7211,7278,7111,7278,73869,0.93
150,2021-03-26,7278,7278,7111,7211,168606,-0.92
151,2021-03-29,7244,7278,7111,7178,87839,-0.46
152,2021-03-30,7111,7211,7111,7111,111114,-0.93
153,2021-03-31,7211,7645,7177,7612,557047,7.05
154,2021-04-01,7645,7678,7444,7579,226544,-0.43
155,2021-04-02,7578,7812,7511,7812,289817,3.07
156,2021-04-05,8079,8212,7878,7946,512667,1.72
157,2021-04-06,8079,8212,7812,8013,277833,0.84
158,2021-04-07,8045,8045,7745,7812,230234,-2.51
159,2021-04-08,7845,7878,7678,7745,223857,-0.86
160,2021-04-09,7745,7812,7645,7779,147790,0.44
161,2021-04-12,7812,7979,7678,7946,155793,2.15
162,2021-04-13,8012,8012,7745,7912,195285,-0.43
163,2021-04-14,7979,8079,7845,7979,251591,0.85
164,2021-04-15,7979,8346,7878,8280,661277,3.77
165,2021-04-16,8313,8379,8146,8313,258856,0.4
166,2021-04-19,8346,8346,7878,8013,288932,-3.61
167,2021-04-20,8012,8212,7945,8113,169301,1.25
168,2021-04-21,8212,8212,7812,7846,166743,-3.29
169,2021-04-22,7878,8079,7878,8013,121308,2.13
170,2021-04-23,8112,8112,7845,7912,172287,-1.26
171,2021-04-26,7878,8146,7878,8013,170717,1.28
172,2021-04-27,8045,8045,7778,7846,153673,-2.08
173,2021-04-28,7845,7912,7545,7645,206832,-2.56
174,2021-04-29,7578,7778,7411,7512,166898,-1.74
175,2021-04-30,7478,7878,7478,7679,205358,2.22
176,2021-05-03,7678,8045,7678,7846,237751,2.17
177,2021-05-04,7979,8012,7712,7946,167005,1.27
178,2021-05-06,7945,8212,7878,8079,209553,1.67
179,2021-05-07,8079,8246,7979,8113,178387,0.42
180,2021-05-10,7878,8313,7745,8313,625307,2.47
181,2021-05-11,8279,8513,8146,8447,550867,1.61
182,2021-05-12,8546,8747,8346,8480,483218,0.39
183,2021-05-13,8146,8546,8146,8380,213117,-1.18
184,2021-05-14,8413,8479,8079,8179,173677,-2.4
185,2021-05-17,8212,8212,7778,7979,274413,-2.45
186,2021-05-18,8045,8112,7878,8013,92594,0.43
187,2021-05-20,8045,8212,7945,8146,133372,1.66
188,2021-05-21,8146,8212,7979,8013,136057,-1.63
189,2021-05-24,8012,8012,7878,7979,82257,-0.42
190,2021-05-25,8045,8279,7912,8213,240993,2.93
191,2021-05-26,8212,8246,7878,7912,179206,-3.66
192,2021-05-27,7912,8112,7878,7912,197031,0.0
193,2021-05-28,8012,8112,7912,7979,226802,0.85
194,2021-05-31,7945,8112,7845,7979,186038,0.0
195,2021-06-01,8012,8079,7945,8013,125855,0.43
196,2021-06-02,8079,8079,7912,7979,137971,-0.42
197,2021-06-03,7979,8379,7979,8246,487493,3.35
198,2021-06-04,8212,8279,8146,8179,172636,-0.81
199,2021-06-07,8179,8313,7979,8113,260220,-0.81
200,2021-06-08,8179,8179,7945,8013,169856,-1.23
201,2021-06-09,7979,8045,7878,7912,179357,-1.26
202,2021-06-10,7979,8079,7878,8079,166334,2.11
203,2021-06-11,8012,8079,7979,8046,76594,-0.41
204,2021-06-14,8146,8146,7979,8079,102360,0.41
205,2021-06-15,8079,8112,7945,8013,100037,-0.82
206,2021-06-16,8045,8279,7979,8280,301707,3.33
207,2021-06-17,8246,8513,8146,8313,304528,0.4
208,2021-06-18,8313,8346,8179,8246,158636,-0.81
209,2021-06-21,8146,8179,8012,8079,166274,-2.03
210,2021-06-22,8045,8279,8045,8113,95164,0.42
211,2021-06-23,8146,8212,7979,8079,181760,-0.42
212,2021-06-24,8079,8112,7945,8013,169024,-0.82
213,2021-06-25,8079,8112,7979,8046,100716,0.41
214,2021-06-28,8045,8613,8012,8547,711178,6.23
215,2021-06-29,8646,8646,8346,8480,285144,-0.78
216,2021-06-30,8413,8680,8346,8380,256527,-1.18
217,2021-07-01,8379,10249,8346,9548,5037137,13.94
218,2021-07-02,9381,9715,9281,9548,985809,0.0
219,2021-07-05,9514,9815,9414,9682,792278,1.4
220,2021-07-06,9748,11017,9615,10016,2937412,3.45
221,2021-07-07,10049,10516,9882,10082,495838,0.66
222,2021-07-08,10049,10049,9214,9515,751139,-5.62
223,2021-07-09,9414,9448,8980,9214,445114,-3.16
224,2021-07-12,9181,9615,9181,9248,205228,0.37
225,2021-07-13,9247,9381,9080,9348,177824,1.08
226,2021-07-14,9314,9314,8980,9281,361924,-0.72
227,2021-07-15,9281,9548,9080,9248,227261,-0.36
228,2021-07-16,9114,9214,9080,9148,146698,-1.08
229,2021-07-19,9114,9147,8780,8881,282779,-2.92
230,2021-07-20,8680,8913,8580,8714,228991,-1.88
231,2021-07-21,8847,8847,8613,8714,111788,0.0
232,2021-07-22,8780,8847,8713,8780,103570,0.76
233,2021-07-23,8847,9181,8713,8981,174162,2.29
234,2021-07-26,8980,9080,8813,8814,133255,-1.86
235,2021-07-27,9014,9147,8913,8981,213841,1.89
236,2021-07-28,8980,9047,8847,9014,107823,0.37
237,2021-07-29,9080,9314,9014,9181,166672,1.85
238,2021-07-30,9247,9247,8947,9047,132842,-1.46
239,2021-08-02,9047,9147,8847,9047,82287,0.0
240,2021-08-03,9047,9181,8646,9014,184422,-0.36
241,2021-08-04,9147,9514,9114,9348,427423,3.71
242,2021-08-05,9448,9848,9414,9648,479150,3.21
243,2021-08-06,9748,9815,9581,9749,275045,1.05
244,2021-08-09,9681,9815,9381,9548,286625,-2.06
245,2021-08-10,9414,9748,9381,9381,148543,-1.75
246,2021-08-11,9414,9882,9381,9882,242798,5.34
247,2021-08-12,9882,9915,9715,9815,183106,-0.68
248,2021-08-13,9848,10215,9548,10082,610922,2.72
249,2021-08-17,10282,11818,9715,10049,2410965,-0.33
250,2021-08-18,9948,10249,9781,10082,347975,0.33
251,2021-08-19,9848,9948,9314,9348,495266,-7.28
252,2021-08-20,9514,9581,9047,9281,264677,-0.72
253,2021-08-23,9347,9548,9314,9448,141089,1.8
254,2021-08-24,9548,9948,9514,9682,185269,2.48
255,2021-08-25,9748,10282,9548,10249,299402,5.86
256,2021-08-26,10382,11184,10215,11017,915904,7.49
