,Date,Open,High,Low,Close,Volume,Change
0,2020-12-14,37950,38050,27000,27250,5207880,NaN
1,2020-12-15,27400,32500,26400,29450,6153544,8.07
2,2020-12-16,30200,33950,29100,29700,3160458,0.85
3,2020-12-17,29500,30450,27800,28050,650216,-5.56
4,2020-12-18,27750,28950,27200,27500,466096,-1.96
5,2020-12-21,26499,27350,25000,25000,545094,-9.09
6,2020-12-22,25550,26350,24075,24350,494642,-2.6
7,2020-12-23,24849,27050,22800,23575,1064924,-3.18
8,2020-12-24,23625,25850,23250,25050,527112,6.26
9,2020-12-28,25500,25700,24100,24100,192950,-3.79
10,2020-12-29,24149,24375,23600,24100,208128,0.0
11,2020-12-30,24250,28600,23775,26250,1445958,8.92
12,2021-01-04,27100,27699,26150,26600,439762,1.33
13,2021-01-05,26950,26950,25600,26000,300864,-2.26
14,2021-01-06,26150,33800,26150,33800,3675532,30.0
15,2021-01-07,35900,35999,31000,32050,2222782,-5.18
16,2021-01-08,31750,32350,29650,30500,701606,-4.84
17,2021-01-11,30000,30150,27200,28300,566694,-7.21
18,2021-01-12,28550,30350,27800,29650,1007510,4.77
19,2021-01-13,30450,30950,28500,28550,398200,-3.71
20,2021-01-14,28199,28350,27050,27700,418274,-2.98
21,2021-01-15,27750,28950,27500,27650,294782,-0.18
22,2021-01-18,27950,28150,26650,26650,216714,-3.62
23,2021-01-19,26500,27050,25850,26500,226668,-0.56
24,2021-01-20,26900,27449,26600,26950,155806,1.7
25,2021-01-21,27350,28250,27100,27900,238486,3.53
26,2021-01-22,28300,29750,27550,28000,543066,0.36
27,2021-01-25,28000,28550,27300,28000,165568,0.0
28,2021-01-26,28000,28450,26700,27100,190036,-3.21
29,2021-01-27,27450,27500,26050,26100,150488,-3.69
30,2021-01-28,25500,25950,25100,25500,128030,-2.3
31,2021-01-29,25600,25850,24250,24375,124838,-4.41
32,2021-02-01,24000,24750,23700,24625,61336,1.03
33,2021-02-02,25450,25450,24600,24675,62312,0.2
34,2021-02-03,25000,25650,24850,25050,59852,1.52
35,2021-02-04,25400,25400,24550,24750,51376,-1.2
36,2021-02-05,24600,25100,24400,24400,61420,-1.41
37,2021-02-08,24500,24675,24249,24400,40186,0.0
38,2021-02-09,24400,24875,24400,24600,40476,0.82
39,2021-02-10,24900,25750,24599,25500,118804,3.66
40,2021-02-15,26250,26250,25400,25600,64264,0.39
41,2021-02-16,25650,25950,25250,25500,64168,-0.39
42,2021-02-17,25500,25500,24899,25000,66914,-1.96
43,2021-02-18,24925,25300,24775,24775,43362,-0.9
44,2021-02-19,24600,24925,24225,24500,62998,-1.11
45,2021-02-22,24700,24775,24050,24075,46968,-1.73
46,2021-02-23,23850,24075,23150,23300,85732,-3.22
47,2021-02-24,23700,24350,22375,22375,90012,-3.97
48,2021-02-25,22725,23075,21250,22400,52882,0.11
49,2021-02-26,21600,22150,21250,21600,51948,-3.57
50,2021-03-02,22400,22400,21575,21600,17964,0.0
51,2021-03-03,21525,22700,21250,22550,41666,4.4
52,2021-03-04,22350,22350,21550,21900,18760,-2.88
53,2021-03-05,21650,21950,21250,21550,28356,-1.6
54,2021-03-08,22100,22100,21400,21475,18392,-0.35
55,2021-03-09,21250,21500,20825,20900,41590,-2.68
56,2021-03-10,21500,21600,20775,20775,31190,-0.6
57,2021-03-11,21225,21225,20525,20850,24512,0.36
58,2021-03-12,21100,21975,20900,21500,30886,3.12
59,2021-03-15,21100,21650,20950,21400,56954,-0.47
60,2021-03-16,21750,21750,21175,21350,34286,-0.23
61,2021-03-17,21500,21600,21200,21350,21170,0.0
62,2021-03-18,21500,21700,21250,21575,26716,1.05
63,2021-03-19,21275,22000,21175,21675,28144,0.46
64,2021-03-22,21950,22025,21450,21475,31090,-0.92
65,2021-03-23,21625,21625,20875,21100,35274,-1.75
66,2021-03-24,20925,21200,20900,20975,25416,-0.59
67,2021-03-25,21050,21375,20925,20925,34030,-0.24
68,2021-03-26,21200,21200,20775,20800,42172,-0.6
69,2021-03-29,20800,21000,20700,20750,32924,-0.24
70,2021-03-30,20800,20975,20700,20750,20952,0.0
71,2021-03-31,20775,21200,20775,21000,30630,1.2
72,2021-04-01,21200,21975,21025,21850,89906,4.05
73,2021-04-02,21850,21900,21450,21525,41728,-1.49
74,2021-04-05,22175,22675,21750,22400,124384,4.07
75,2021-04-06,22525,22550,21850,22000,59354,-1.79
76,2021-04-07,22175,22350,21575,21750,45280,-1.14
77,2021-04-08,21750,21975,21575,21850,29304,0.46
78,2021-04-09,21850,21900,21650,21700,32974,-0.69
79,2021-04-12,21650,22200,21600,21675,33926,-0.12
80,2021-04-13,21750,22125,21600,22125,54792,2.08
81,2021-04-14,22125,22250,21925,22125,37994,0.0
82,2021-04-15,22125,22950,22050,22375,65086,1.13
83,2021-04-16,22550,22550,22250,22400,29010,0.11
84,2021-04-19,22475,24225,22475,23175,245848,3.46
85,2021-04-20,23500,23875,23125,23875,100090,3.02
86,2021-04-21,23800,23800,23200,23300,60158,-2.41
87,2021-04-22,23600,23600,23100,23100,42802,-0.86
88,2021-04-23,23050,23100,22650,23075,44418,-0.11
89,2021-04-26,23325,23350,23000,23075,28516,0.0
90,2021-04-27,23075,23300,22650,22775,37904,-1.3
91,2021-04-28,23100,23100,21900,21900,51122,-3.84
92,2021-04-29,22075,22200,21425,21675,28542,-1.03
93,2021-04-30,21850,22350,21700,21825,19944,0.69
94,2021-05-03,22325,22375,21550,21725,20534,-0.46
95,2021-05-04,21725,21875,21250,21875,23894,0.69
96,2021-05-06,21950,21975,21600,21650,12858,-1.03
97,2021-05-07,21900,21900,21550,21675,21472,0.12
98,2021-05-10,21675,22075,21675,21825,18118,0.69
99,2021-05-11,21650,21825,21375,21500,28572,-1.49
100,2021-05-12,21500,21500,20900,21300,30892,-0.93
101,2021-05-13,20900,21200,20650,20800,37582,-2.35
102,2021-05-14,21000,21100,20700,20800,15148,0.0
103,2021-05-17,21250,21250,20175,20200,52108,-2.88
104,2021-05-18,20100,20375,19975,20225,28830,0.12
105,2021-05-20,20175,21300,20000,20600,36754,1.85
106,2021-05-21,20675,20725,20100,20250,34702,-1.7
107,2021-05-24,20325,20325,20000,20000,23510,-1.23
108,2021-05-25,20000,20200,19825,19850,26846,-0.75
109,2021-05-26,20000,20050,19750,19825,17406,-0.13
110,2021-05-27,19975,20150,19800,19975,17012,0.76
111,2021-05-28,20075,20275,20075,20150,14602,0.88
112,2021-05-31,20150,20450,20150,20400,14046,1.24
113,2021-06-01,20375,20475,20175,20300,17154,-0.49
114,2021-06-02,20350,20350,20125,20200,16450,-0.49
115,2021-06-03,20100,20300,20075,20225,21458,0.12
116,2021-06-04,20200,20200,20000,20025,21090,-0.99
117,2021-06-07,20050,20125,19875,20000,34068,-0.12
118,2021-06-08,20000,20200,19925,19950,27760,-0.25
119,2021-06-09,20050,20100,19850,19850,28656,-0.5
120,2021-06-10,19800,20025,19775,19850,19954,0.0
121,2021-06-11,19850,20000,19700,19900,35532,0.25
122,2021-06-14,18750,19325,18750,18900,340766,-5.03
123,2021-06-15,19000,19000,18750,18900,89534,0.0
124,2021-06-16,18900,18900,18675,18700,68694,-1.06
125,2021-06-17,18700,18700,18250,18250,144912,-2.41
126,2021-06-18,18300,18575,18250,18500,76396,1.37
127,2021-06-21,18300,18550,18300,18400,35468,-0.54
128,2021-06-22,18575,18750,18350,18450,34924,0.27
129,2021-06-23,18700,18875,18500,18875,78540,2.3
130,2021-06-24,18875,18900,18600,18700,68472,-0.93
131,2021-06-25,18750,19400,18725,19125,139452,2.27
132,2021-06-28,19300,19400,19125,19150,47934,0.13
133,2021-06-29,19100,19150,18775,18825,53322,-1.7
134,2021-06-30,18825,19800,18825,19400,222014,3.05
135,2021-07-01,19925,20650,19750,20325,453438,4.77
