,Date,Open,High,Low,Close,Volume,Change
0,2021-05-21,22000,28600,21000,28600,8152699,NaN
1,2021-05-24,28800,28850,20050,20050,3203819,-29.9
2,2021-05-25,19200,19650,16400,16500,1877918,-17.71
3,2021-05-26,16350,17450,15650,15750,1280682,-4.55
4,2021-05-27,16000,16450,15700,16250,689329,3.17
5,2021-05-28,16100,16400,15950,16200,387449,-0.31
6,2021-05-31,16650,16750,16250,16300,646591,0.62
7,2021-06-01,16250,16450,16050,16150,223192,-0.92
8,2021-06-02,16400,16950,16150,16300,765412,0.93
9,2021-06-03,16500,16700,16200,16200,449661,-0.61
10,2021-06-04,16150,16150,15550,15650,207282,-3.4
11,2021-06-07,15450,15550,14850,14900,257695,-4.79
12,2021-06-08,14950,15000,14300,14400,178670,-3.36
13,2021-06-09,14400,14550,14150,14250,103098,-1.04
14,2021-06-10,14200,14200,13900,14000,101633,-1.75
15,2021-06-11,13900,14250,13900,14150,110483,1.07
16,2021-06-14,14150,14300,14000,14200,52782,0.35
17,2021-06-15,14200,14200,13800,13800,64830,-2.82
18,2021-06-16,13850,14050,13750,13950,49291,1.09
19,2021-06-17,13950,14000,13800,13950,39180,0.0
20,2021-06-18,14400,15700,14350,14550,719921,4.3
21,2021-06-21,14400,14400,13750,13850,161537,-4.81
22,2021-06-22,13950,13950,13700,13750,84800,-0.72
23,2021-06-23,13750,13950,13650,13850,82802,0.73
24,2021-06-24,13900,14050,13750,14000,56355,1.08
25,2021-06-25,14050,15150,13800,14850,258469,6.07
26,2021-06-28,14950,15850,14350,14550,386251,-2.02
27,2021-06-29,14600,14650,14350,14400,65079,-1.03
28,2021-06-30,14400,14600,14150,14150,83877,-1.74
29,2021-07-01,14150,14550,14100,14250,83528,0.71
30,2021-07-02,14250,14450,14200,14300,52311,0.35
31,2021-07-05,14400,14750,14300,14450,74784,1.05
32,2021-07-06,14300,14600,14200,14400,48973,-0.35
33,2021-07-07,14300,14500,14200,14450,44205,0.35
34,2021-07-08,14600,14600,14050,14150,56425,-2.08
35,2021-07-09,14150,14150,13750,13800,52901,-2.47
36,2021-07-12,13950,14150,13800,13900,28035,0.72
37,2021-07-13,13900,14300,13900,14050,41575,1.08
38,2021-07-14,14000,14300,13900,14100,36874,0.36
39,2021-07-15,14100,14250,14000,14000,38304,-0.71
40,2021-07-16,14000,14200,13900,14200,44953,1.43
41,2021-07-19,14300,16800,14150,15250,1624370,7.39
42,2021-07-20,15000,16600,14900,16350,961563,7.21
43,2021-07-21,16150,17150,15850,16800,727362,2.75
44,2021-07-22,16700,16800,15900,15950,313993,-5.06
45,2021-07-23,16100,16400,15300,15400,229079,-3.45
46,2021-07-26,15600,16200,15450,15750,154332,2.27
47,2021-07-27,15750,15900,15350,15450,88534,-1.9
48,2021-07-28,15350,18800,15300,17800,3628836,15.21
49,2021-07-29,17450,18600,17050,18550,1235259,4.21
50,2021-07-30,18300,18500,17400,17400,437539,-6.2
51,2021-08-02,17350,17600,16600,17350,260332,-0.29
52,2021-08-03,17150,18300,17150,17550,457693,1.15
