,Date,Open,High,Low,Close,Volume,Change
0,2021-03-16,2025,2030,2020,2020,1146186,NaN
1,2021-03-17,2025,2025,2020,2020,121895,0.0
2,2021-03-18,2025,2030,2020,2030,67804,0.5
3,2021-03-19,2030,2035,2020,2030,40079,0.0
4,2021-03-22,2035,2035,2025,2030,28247,0.0
5,2021-03-23,2025,2030,2020,2030,41004,0.0
6,2021-03-24,2030,2035,2020,2035,43229,0.25
7,2021-03-25,2030,2030,2025,2030,4354,-0.25
8,2021-03-26,2025,2035,2025,2030,76295,0.0
9,2021-03-29,2030,2030,2025,2030,9157,0.0
10,2021-03-30,2030,2035,2030,2035,45995,0.25
11,2021-03-31,2035,2045,2030,2045,48148,0.49
12,2021-04-01,2040,2045,2040,2045,9351,0.0
13,2021-04-02,2045,2045,2040,2045,7036,0.0
14,2021-04-05,2050,2050,2040,2050,8184,0.24
15,2021-04-06,2050,2050,2045,2050,15295,0.0
16,2021-04-07,2050,2050,2040,2050,6659,0.0
17,2021-04-08,2050,2050,2045,2050,9530,0.0
18,2021-04-09,2050,2080,2050,2070,32622,0.98
19,2021-04-12,2070,2070,2055,2070,4427,0.0
20,2021-04-13,2065,2075,2065,2075,2482,0.24
21,2021-04-14,2085,2085,2070,2080,5895,0.24
22,2021-04-15,2070,2085,2070,2080,708,0.0
23,2021-04-16,2085,2085,2060,2075,3058,-0.24
24,2021-04-19,2060,2080,2060,2070,750,-0.24
25,2021-04-20,2070,2070,2065,2070,12445,0.0
26,2021-04-21,2070,2070,2065,2070,324,0.0
27,2021-04-22,2070,2070,2050,2070,11737,0.0
28,2021-04-23,2060,2070,2050,2070,9166,0.0
29,2021-04-26,2040,2075,2040,2070,33911,0.0
30,2021-04-27,2070,2075,2050,2075,25052,0.24
31,2021-04-28,2075,2080,2070,2075,3221,0.0
32,2021-04-29,2080,2080,2070,2080,252,0.24
33,2021-04-30,2075,2090,2075,2090,19627,0.48
34,2021-05-03,2100,2100,2085,2090,14035,0.0
35,2021-05-04,2100,2100,2095,2095,227,0.24
36,2021-05-06,2095,2095,2085,2095,12889,0.0
37,2021-05-07,2100,2115,2095,2095,29906,0.0
38,2021-05-10,2095,2115,2090,2095,2747,0.0
39,2021-05-11,2100,2100,2090,2100,1556,0.24
40,2021-05-12,2095,2095,2085,2095,805,-0.24
41,2021-05-13,2100,2100,2090,2095,1488,0.0
42,2021-05-14,2095,2100,2055,2085,54588,-0.48
43,2021-05-17,2085,2100,2060,2085,53077,0.0
44,2021-05-18,2080,2090,2070,2090,10374,0.24
45,2021-05-20,2090,2090,2080,2080,1512,-0.48
46,2021-05-21,2085,2085,2080,2080,2307,0.0
47,2021-05-24,2085,2105,2085,2100,61306,0.96
48,2021-05-25,2115,2115,2100,2115,5754,0.71
49,2021-05-26,2110,2145,2105,2125,20235,0.47
50,2021-05-27,2125,2190,2120,2150,61198,1.18
51,2021-05-28,2185,2340,2110,2255,480487,4.88
52,2021-05-31,2290,2850,2265,2850,4318597,26.39
53,2021-06-01,3260,3585,2175,2260,6136148,-20.7
54,2021-06-02,2255,2260,2115,2160,1264775,-4.42
55,2021-06-03,2165,2225,2115,2170,595364,0.46
56,2021-06-04,2175,2190,2115,2130,396991,-1.84
57,2021-06-07,2165,2275,2105,2275,696035,6.81
58,2021-06-08,2165,2200,2120,2155,442403,-5.27
59,2021-06-09,2125,2190,2115,2185,424867,1.39
60,2021-06-10,2165,2185,2110,2125,250203,-2.75
61,2021-06-11,2120,2135,2105,2135,107294,0.47
62,2021-06-14,2135,2180,2110,2130,153414,-0.23
63,2021-06-15,2120,2145,2110,2110,124137,-0.94
64,2021-06-16,2110,2125,2105,2125,69854,0.71
