,Date,Open,High,Low,Close,Volume,Change
0,2022-01-27,597000,598000,450000,505000,15946992,NaN
1,2022-01-28,476000,483000,445000,450000,4559773,-10.89
2,2022-02-03,458000,495500,441000,477000,2918435,6.0
3,2022-02-04,476500,505000,476000,504000,2088996,5.66
4,2022-02-07,520000,548000,511000,548000,1911176,8.73
5,2022-02-08,554000,577000,524000,542000,2583335,-1.09
6,2022-02-09,550000,557000,505000,511000,2070704,-5.72
7,2022-02-10,507000,507000,471500,474500,2306815,-7.14
8,2022-02-11,463500,484000,457000,482000,1411055,1.58
9,2022-02-14,473000,482000,459500,463000,3285402,-3.94
10,2022-02-15,460000,468000,450000,451500,825406,-2.48
11,2022-02-16,464000,465000,449500,455500,961669,0.89
12,2022-02-17,454500,460000,447000,454500,711183,-0.22
13,2022-02-18,448500,454500,448000,454500,418728,0.0
14,2022-02-21,450000,453000,447500,453000,327509,-0.33
15,2022-02-22,444500,448000,440000,440000,557179,-2.87
16,2022-02-23,443500,446000,438000,442000,381560,0.45
17,2022-02-24,435000,438000,416000,416500,883314,-5.77
18,2022-02-25,425000,430000,418500,420000,465140,0.84
19,2022-02-28,404500,422000,404000,412000,970088,-1.9
20,2022-03-02,411000,434500,408500,434000,895460,5.34
21,2022-03-03,439500,441000,430000,437000,460544,0.69
22,2022-03-04,433500,436500,427000,428500,310930,-1.95
23,2022-03-07,420500,421000,412000,414000,370588,-3.38
24,2022-03-08,406000,417000,402500,410500,393413,-0.85
25,2022-03-10,421000,430500,417500,417500,1076446,1.71
26,2022-03-11,411500,412000,390500,391000,1811373,-6.35
27,2022-03-14,385000,385500,361500,363500,1999479,-7.03
28,2022-03-15,363000,370000,355000,359500,1064506,-1.1
29,2022-03-16,367000,367500,360000,363500,625328,1.11
30,2022-03-17,374000,381500,373000,376000,816118,3.44
31,2022-03-18,377500,384000,370500,382000,643915,1.6
32,2022-03-21,385000,397500,384000,386000,655247,1.05
33,2022-03-22,388500,399000,388000,397500,413972,2.98
34,2022-03-23,403000,407500,398000,407000,523438,2.39
35,2022-03-24,405000,410000,398000,408000,320746,0.25
36,2022-03-25,418500,444000,417500,439000,1528600,7.6
37,2022-03-28,439000,443000,430000,436500,481311,-0.57
38,2022-03-29,443000,448500,440500,441000,375894,1.03
39,2022-03-30,444500,445000,427000,440500,440195,-0.11
40,2022-03-31,437000,444000,435000,442000,272318,0.34
41,2022-04-01,438500,439500,425000,428000,456080,-3.17
42,2022-04-04,422000,440500,417500,438500,362727,2.45
43,2022-04-05,442500,450000,437000,449000,491410,2.39
44,2022-04-06,436000,448500,436000,444500,415524,-1.0
45,2022-04-07,438000,442000,431000,436500,316409,-1.8
46,2022-04-08,449000,449000,437500,439500,395489,0.69
47,2022-04-11,435000,435500,423500,425000,289205,-3.3
48,2022-04-12,417000,421500,410000,411000,382240,-3.29
49,2022-04-13,414000,431500,404000,431000,386194,4.87
50,2022-04-14,434000,441000,427500,441000,321259,2.32
51,2022-04-15,435500,445000,431500,435000,307347,-1.36
52,2022-04-18,434000,439500,432500,433000,115652,-0.46
53,2022-04-19,438000,441500,434000,435500,124432,0.58
54,2022-04-20,437500,438000,432000,436500,202657,0.23
55,2022-04-21,437500,440000,434500,437000,234128,0.11
56,2022-04-22,434000,437500,428500,436500,266806,-0.11
57,2022-04-25,430000,436000,428500,433000,254452,-0.8
58,2022-04-26,432000,432000,414500,423500,520529,-2.19
59,2022-04-27,399500,427000,397000,418000,1478354,-1.3
60,2022-04-28,420500,421000,412500,417500,358325,-0.12
61,2022-04-29,418000,426000,414000,417000,332582,-0.12
62,2022-05-02,412500,414500,407000,408500,365546,-2.04
63,2022-05-03,409500,415000,406500,407500,254850,-0.24
64,2022-05-04,409500,410500,399500,401500,364195,-1.47
65,2022-05-06,395000,401500,390000,401500,350875,0.0
66,2022-05-09,397000,400000,390000,394000,289113,-1.87
67,2022-05-10,387500,398500,382000,393500,407928,-0.13
68,2022-05-11,394000,398000,391500,391500,239355,-0.51
69,2022-05-12,390000,395500,386000,388000,251570,-0.89
70,2022-05-13,390500,401500,390500,400500,228636,3.22
71,2022-05-16,407000,407500,397000,400500,200731,0.0
72,2022-05-17,400500,411000,399000,408500,230327,2.0
73,2022-05-18,410000,413000,407500,410000,233063,0.37
74,2022-05-19,398500,417000,398500,415500,320709,1.34
75,2022-05-20,421000,439000,418000,434000,881979,4.45
76,2022-05-23,438500,444000,432500,438000,361437,0.92
77,2022-05-24,438500,444000,436500,438500,350284,0.11
78,2022-05-25,439000,439000,422000,426500,365195,-2.74
79,2022-05-26,426500,432500,424500,430500,162583,0.94
80,2022-05-27,434500,437000,427500,430500,214801,0.0
81,2022-05-30,434500,440000,432000,439500,229834,2.09
82,2022-05-31,441500,444000,436000,444000,345830,1.02
83,2022-06-02,440500,442000,438000,440500,153596,-0.79
84,2022-06-03,443500,444000,437500,437500,154981,-0.68
85,2022-06-07,436500,439500,432000,432000,180249,-1.26
86,2022-06-08,432500,434500,422500,425500,215828,-1.5
87,2022-06-09,426000,426000,419000,422500,208712,-0.71
88,2022-06-10,418000,426000,412500,425000,285077,0.59
89,2022-06-13,414000,420500,413500,415000,267003,-2.35
90,2022-06-14,411000,432500,410500,426500,417106,2.77
91,2022-06-15,426000,427500,417000,420000,275832,-1.52
92,2022-06-16,424500,439500,424500,427000,365836,1.67
93,2022-06-17,419500,430000,417000,425500,1211937,-0.35
94,2022-06-20,426500,427000,408500,411500,285056,-3.29
95,2022-06-21,414500,416500,406000,413000,204026,0.36
96,2022-06-22,415000,416500,401000,401000,210875,-2.91
97,2022-06-23,401000,404500,391000,400000,298719,-0.25
98,2022-06-24,399000,405000,398000,405000,235758,1.25
99,2022-06-27,408500,414500,403500,412000,206869,1.73
100,2022-06-28,412000,415000,406500,410500,129697,-0.36
101,2022-06-29,402000,403500,391500,391500,327192,-4.63
102,2022-06-30,388500,389000,370500,371000,459845,-5.24
103,2022-07-01,371000,371500,356000,356500,434833,-3.91
104,2022-07-04,356500,361000,352000,356000,161015,-0.14
105,2022-07-05,356500,362500,356000,361500,219192,1.54
106,2022-07-06,367500,374500,364000,370500,393886,2.49
107,2022-07-07,374500,375000,367500,373500,223247,0.81
