,Date,Open,High,Low,Close,Volume,Change
0,2021-08-11,35000,45500,35000,45500,5579050,NaN
1,2021-08-12,47000,54500,40550,41500,6974160,-8.79
2,2021-08-13,41850,44250,35900,37000,1512586,-10.84
3,2021-08-17,36100,36150,31450,32050,647186,-13.38
4,2021-08-18,31150,35700,31000,33750,1272120,5.3
5,2021-08-19,33250,34050,31200,31200,440004,-7.56
6,2021-08-20,31200,31650,27500,28050,321148,-10.1
7,2021-08-23,28350,28500,26500,26700,200316,-4.81
8,2021-08-24,26950,34700,26850,34700,3269034,29.96
9,2021-08-25,35850,40900,34050,35250,4945622,1.59
10,2021-08-26,34850,35800,33550,35800,626728,1.56
11,2021-08-27,35050,36900,34250,34600,787310,-3.35
12,2021-08-30,35850,37350,33900,34150,541274,-1.3
13,2021-08-31,34000,35800,32150,35550,369978,4.1
14,2021-09-01,35350,42900,34200,41250,3981912,16.03
15,2021-09-02,40800,41100,39250,40150,645920,-2.67
16,2021-09-03,39900,40500,38200,40450,422956,0.75
17,2021-09-06,39800,41900,38500,38500,627042,-4.82
18,2021-09-07,39600,39650,37600,38650,307340,0.39
19,2021-09-08,38950,41850,38100,39400,878658,1.94
20,2021-09-09,39350,39350,36700,36700,244832,-6.85
21,2021-09-10,36700,37700,34350,34500,314058,-5.99
22,2021-09-13,33550,35450,31850,35350,805984,2.46
23,2021-09-14,35750,36200,34200,35250,261782,-0.28
24,2021-09-15,34950,37100,34750,35300,267890,0.14
25,2021-09-16,36050,36050,33900,34300,338880,-2.83
26,2021-09-17,34300,35350,33950,34850,184252,1.6
27,2021-09-23,35300,35750,33250,33750,261300,-3.16
28,2021-09-24,34450,34500,32550,32950,187184,-2.37
29,2021-09-27,33000,38900,31750,33050,2528842,0.3
30,2021-09-28,33350,34000,29300,30000,738694,-9.23
31,2021-09-29,28600,30000,27900,28250,385246,-5.83
32,2021-09-30,28200,29449,27350,27600,343282,-2.3
33,2021-10-01,27600,28500,26599,26900,293606,-2.54
34,2021-10-05,26550,27150,24974,25700,306704,-4.46
35,2021-10-06,25550,26900,23600,23800,336526,-7.39
36,2021-10-07,24000,27250,23750,26700,702204,12.18
37,2021-10-08,29100,30750,26750,27600,350616,3.37
38,2021-10-12,27650,28000,24800,24800,229534,-10.14
39,2021-10-13,24800,29700,24800,27050,638911,9.07
40,2021-10-14,27000,34300,27000,31500,1372040,16.45
41,2021-10-15,31250,32150,29750,29800,345657,-5.4
42,2021-10-18,30000,32700,29450,30100,500283,1.01
43,2021-10-19,30150,35300,29700,33700,1004161,11.96
44,2021-10-20,33700,36750,33150,35400,974925,5.04
45,2021-10-21,35400,35450,33750,34550,237852,-2.4
46,2021-10-22,34200,34650,32800,34550,235430,0.0
47,2021-10-25,33800,36600,33650,35900,352254,3.91
48,2021-10-26,34750,36400,34350,35000,466689,-2.51
49,2021-10-27,36200,37050,34550,35600,567548,1.71
50,2021-10-28,34600,35200,33450,33600,718301,-5.62
51,2021-10-29,33600,33700,31550,32450,727273,-3.42
52,2021-11-01,32200,33500,31550,32350,296974,-0.31
53,2021-11-02,32100,33350,31250,31750,346890,-1.85
54,2021-11-03,32200,34400,31450,34100,739630,7.4
55,2021-11-04,34500,34800,32900,33600,431958,-1.47
56,2021-11-05,33850,35500,33500,35500,745748,5.65
57,2021-11-08,36300,38400,35250,38350,1200262,8.03
58,2021-11-09,38650,39750,37600,39550,837372,3.13
59,2021-11-10,39100,40700,38450,39900,633796,0.88
60,2021-11-11,39000,40300,37550,39000,685652,-2.26
61,2021-11-12,38500,39600,37050,37100,440949,-4.87
62,2021-11-15,36950,38700,36700,37950,288230,2.29
63,2021-11-16,38050,39650,36750,39650,466257,4.48
64,2021-11-17,40000,42900,39350,42700,1020748,7.69
65,2021-11-18,43300,43550,40650,42000,604136,-1.64
66,2021-11-19,41400,41500,39100,40300,696606,-4.05
67,2021-11-22,39800,40050,37200,38150,398264,-5.33
68,2021-11-23,37100,38750,34750,35050,523316,-8.13
69,2021-11-24,36000,37650,35500,37650,383983,7.42
70,2021-11-25,37350,37750,35500,36250,284459,-3.72
71,2021-11-26,36050,36650,34000,34150,303994,-5.79
72,2021-11-29,33000,34400,32100,33400,293825,-2.2
73,2021-11-30,33800,34450,31200,31300,283068,-6.29
74,2021-12-01,32100,32650,30800,32600,252866,4.15
75,2021-12-02,31650,32450,31350,31550,165590,-3.22
76,2021-12-03,31750,33600,31600,33350,169431,5.71
77,2021-12-06,32700,33300,31800,32600,205434,-2.25
78,2021-12-07,33000,34600,32850,34600,184944,6.13
79,2021-12-08,34750,34950,33800,33800,137536,-2.31
80,2021-12-09,34000,34300,33250,34300,127813,1.48
81,2021-12-10,34400,35600,34200,34750,252435,1.31
82,2021-12-13,35050,35400,34150,34750,151085,0.0
83,2021-12-14,34750,34900,33700,34050,74979,-2.01
84,2021-12-15,33800,34450,33600,34300,53653,0.73
85,2021-12-16,34400,35350,33950,34200,107824,-0.29
86,2021-12-17,33600,34200,33350,33500,74317,-2.05
87,2021-12-20,33200,33500,32000,32000,111441,-4.48
88,2021-12-21,32650,32650,31150,32000,140718,0.0
89,2021-12-22,32300,33450,31900,33050,113433,3.28
90,2021-12-23,33200,33850,32650,33700,92045,1.97
91,2021-12-24,33500,33900,32850,33000,93195,-2.08
92,2021-12-27,32850,33700,32850,33050,60015,0.15
93,2021-12-28,33150,34450,33000,34000,154672,2.87
94,2021-12-29,34050,37000,34000,36300,396927,6.76
95,2021-12-30,36750,37800,36350,37350,259901,2.89
96,2022-01-03,37700,38100,36150,36500,215752,-2.28
97,2022-01-04,36800,38200,36550,37750,323949,3.42
98,2022-01-05,37750,38550,36950,37450,318715,-0.79
99,2022-01-06,36350,36800,34700,35150,303115,-6.14
100,2022-01-07,35450,36200,35200,35650,156657,1.42
101,2022-01-10,35000,35200,33200,34150,198580,-4.21
102,2022-01-11,34600,34900,33400,33600,99410,-1.61
103,2022-01-12,34050,34950,34000,34650,83102,3.12
104,2022-01-13,35050,35550,34350,34650,99168,0.0
105,2022-01-14,34000,34950,33700,34100,76025,-1.59
106,2022-01-17,34200,34200,32400,32500,103930,-4.69
107,2022-01-18,33050,33700,32300,32300,131984,-0.62
108,2022-01-19,31650,32500,31250,31500,118222,-2.48
109,2022-01-20,31500,32700,31250,32700,96810,3.81
110,2022-01-21,32050,32600,31300,31500,99632,-3.67
111,2022-01-24,30900,31000,29500,29850,119638,-5.24
112,2022-01-25,30150,30300,27750,28050,208205,-6.03
113,2022-01-26,28000,29600,27200,28500,82544,1.6
114,2022-01-27,28450,29100,26550,28350,166718,-0.53
115,2022-01-28,28650,30100,27750,30000,112107,5.82
116,2022-02-03,30500,30900,30050,30750,65610,2.5
117,2022-02-04,30100,32300,30050,31900,89725,3.74
118,2022-02-07,31900,32250,31200,31600,48548,-0.94
119,2022-02-08,31500,32150,30500,30750,64588,-2.69
120,2022-02-09,30850,31200,30550,30750,33787,0.0
121,2022-02-10,30750,31100,28950,29650,102966,-3.58
122,2022-02-11,29000,29700,28600,28950,111856,-2.36
123,2022-02-14,28000,28550,26550,27050,192415,-6.56
124,2022-02-15,27400,28100,26800,27250,118988,0.74
125,2022-02-16,28200,30450,28050,29850,190519,9.54
126,2022-02-17,30450,31850,29400,30700,245361,2.85
