,Date,Open,High,Low,Close,Volume,Change
0,2021-10-21,5600,7280,5600,7280,32916125,NaN
1,2021-10-22,7660,7700,6300,6300,24208545,-13.46
2,2021-10-25,6120,6880,5920,6290,6388105,-0.16
3,2021-10-26,6360,6560,6120,6150,2423245,-2.23
4,2021-10-27,6180,6210,5800,5840,2465090,-5.04
5,2021-10-28,6000,6100,5720,5760,2322115,-1.37
6,2021-10-29,5800,5810,5400,5400,1583600,-6.25
7,2021-11-01,5340,5360,4750,4810,2050915,-10.93
8,2021-11-02,4910,5660,4860,5040,5530795,4.78
9,2021-11-03,4920,4990,4800,4870,976060,-3.37
10,2021-11-04,5010,5360,4960,5110,2367180,4.93
11,2021-11-05,5100,5100,4770,4850,987125,-5.09
12,2021-11-08,4850,5010,4500,4620,1074410,-4.74
13,2021-11-09,4620,4710,4520,4700,623530,1.73
14,2021-11-10,4620,5280,4540,4770,1916055,1.49
15,2021-11-11,4770,4870,4580,4630,665980,-2.94
16,2021-11-12,4630,5060,4630,4700,1462670,1.51
17,2021-11-15,4780,4780,4630,4680,605840,-0.43
18,2021-11-16,4770,5510,4740,5220,7014835,11.54
19,2021-11-17,5310,5370,5000,5110,1372450,-2.11
20,2021-11-18,5080,6060,5060,5380,6793430,5.28
21,2021-11-19,5360,5360,5100,5170,1267235,-3.9
22,2021-11-22,4960,5449,4930,5060,2705620,-2.13
23,2021-11-23,5120,5460,5099,5350,3031130,5.73
24,2021-11-24,5309,5450,5170,5180,1530780,-3.18
25,2021-11-25,5220,5360,5020,5090,1455380,-1.74
26,2021-11-26,5170,5180,4880,4880,845065,-4.13
27,2021-11-29,4610,4780,4590,4610,708045,-5.53
28,2021-11-30,4700,4700,4350,4390,856610,-4.77
29,2021-12-01,4370,4400,4090,4280,572270,-2.51
30,2021-12-02,4280,4610,4220,4400,779695,2.8
31,2021-12-03,4420,4460,4330,4420,274950,0.45
32,2021-12-06,4400,4430,4300,4410,255995,-0.23
33,2021-12-07,4430,4520,4400,4470,354580,1.36
34,2021-12-08,4500,4610,4490,4550,602320,1.79
35,2021-12-09,4530,4610,4490,4600,377120,1.1
36,2021-12-10,4600,4730,4540,4640,351765,0.87
37,2021-12-13,4720,4920,4640,4800,1116050,3.45
38,2021-12-14,4800,4800,4610,4720,389400,-1.67
39,2021-12-15,4720,4790,4430,4540,497240,-3.81
40,2021-12-16,4580,4620,4470,4490,221095,-1.1
41,2021-12-17,4490,4520,4400,4460,182600,-0.67
42,2021-12-20,4410,4530,4410,4420,169205,-0.9
43,2021-12-21,4440,4690,4370,4520,438940,2.26
44,2021-12-22,4540,4660,4450,4460,271330,-1.33
45,2021-12-23,4480,4500,4410,4410,144130,-1.12
46,2021-12-24,4410,4440,4350,4360,158495,-1.13
47,2021-12-27,4350,4370,4270,4290,149990,-1.61
48,2021-12-28,4290,4360,4280,4340,146000,1.17
49,2021-12-29,4360,4430,4310,4420,161115,1.84
50,2021-12-30,4440,4840,4440,4610,1073140,4.3
51,2022-01-03,4620,4630,4530,4590,248350,-0.43
52,2022-01-04,4670,4740,4640,4700,605240,2.4
53,2022-01-05,4660,4720,4570,4650,357300,-1.06
54,2022-01-06,4540,4750,4540,4620,469000,-0.65
55,2022-01-07,4660,4720,4610,4680,276910,1.3
56,2022-01-10,4640,4640,4440,4520,277020,-3.42
57,2022-01-11,4520,4560,4360,4380,156625,-3.1
58,2022-01-12,4440,4630,4440,4560,246395,4.11
59,2022-01-13,4570,5570,4570,5230,22902545,14.69
60,2022-01-14,5180,5220,4950,5220,5449225,-0.19
61,2022-01-17,5470,6780,5270,6780,23471920,29.89
62,2022-01-18,7040,7120,6450,6780,24861355,0.0
63,2022-01-19,6360,6420,5760,5920,10726730,-12.68
64,2022-01-20,6160,6230,5530,5790,8847895,-2.2
65,2022-01-21,5530,5680,5240,5370,6794985,-7.25
66,2022-01-24,5380,5560,5320,5510,6608430,2.61
67,2022-01-25,5629,5780,5450,5660,11528105,2.72
68,2022-01-26,5740,6000,5260,5300,11992615,-6.36
69,2022-01-27,5330,5330,4420,4460,6938760,-15.85
70,2022-01-28,4420,4440,4029,4230,3211195,-5.16
71,2022-02-03,4330,4430,4260,4320,2033715,2.13
72,2022-02-04,4260,4390,4230,4390,1514310,1.62
73,2022-02-07,4410,4430,4250,4300,1075310,-2.05
74,2022-02-08,4300,4350,4100,4150,1421610,-3.49
75,2022-02-09,4200,4280,4160,4210,754990,1.45
76,2022-02-10,4270,4300,4100,4100,866455,-2.61
77,2022-02-11,4050,4050,3880,3880,1137035,-5.37
78,2022-02-14,3740,3780,3620,3620,1027125,-6.7
79,2022-02-15,3610,3700,3420,3450,1012495,-4.7
80,2022-02-16,3590,3920,3560,3730,2762665,8.12
81,2022-02-17,3790,3910,3730,3800,1564310,1.88
82,2022-02-18,3820,4480,3800,4150,6604265,9.21
83,2022-02-21,4150,4320,4040,4250,2152765,2.41
84,2022-02-22,4100,4230,4020,4080,1056190,-4.0
85,2022-02-23,4100,4200,4010,4040,958410,-0.98
86,2022-02-24,3950,4010,3850,3860,823380,-4.46
87,2022-02-25,3950,4070,3870,3890,858550,0.78
88,2022-02-28,3900,3950,3890,3920,342720,0.77
89,2022-03-02,3920,4069,3920,4070,507885,3.83
90,2022-03-03,4110,4200,4100,4190,592890,2.95
91,2022-03-04,4200,4390,4120,4300,2093645,2.63
92,2022-03-07,4210,4300,4150,4160,466065,-3.26
93,2022-03-08,4160,4350,4100,4170,1028355,0.24
94,2022-03-10,4310,4310,4210,4210,298710,0.96
95,2022-03-11,4210,4250,4140,4140,331980,-1.66
96,2022-03-14,4120,4120,3969,3970,532445,-4.11
97,2022-03-15,3960,4040,3900,3960,228970,-0.25
98,2022-03-16,4009,4030,3940,3970,276625,0.25
99,2022-03-17,4010,4060,3970,4000,435160,0.76
100,2022-03-18,4020,4260,3980,4200,841470,5.0
101,2022-03-21,4300,4320,4200,4210,510770,0.24
102,2022-03-22,4190,4280,4180,4240,409250,0.71
103,2022-03-23,4300,4340,4240,4270,460340,0.71
104,2022-03-24,4250,4340,4230,4330,467440,1.41
105,2022-03-25,4360,4510,4280,4480,878145,3.46
106,2022-03-28,4540,4570,4390,4450,617980,-0.67
107,2022-03-29,4450,4500,4360,4380,480130,-1.57
108,2022-03-30,4410,4440,4310,4430,493540,1.14
109,2022-03-31,0,0,0,4430,0,0.0
110,2022-04-01,0,0,0,4430,0,0.0
111,2022-04-04,0,0,0,4430,0,0.0
112,2022-04-05,4390,4390,3955,4155,836573,-6.21
113,2022-04-06,4190,4245,4040,4085,458076,-1.68
114,2022-04-07,4085,4085,3895,3905,486220,-4.41
115,2022-04-08,3920,4095,3900,4040,528488,3.46
116,2022-04-11,4010,4025,3930,3955,185753,-2.1
117,2022-04-12,3890,3940,3850,3915,197927,-1.01
118,2022-04-13,3915,4030,3900,3965,206230,1.28
119,2022-04-14,4010,4020,3920,3920,139235,-1.13
120,2022-04-15,3890,3950,3875,3890,190238,-0.77
121,2022-04-18,3870,3870,3685,3705,457654,-4.76
122,2022-04-19,3710,3740,3655,3680,222354,-0.67
123,2022-04-20,3685,3815,3685,3720,331051,1.09
124,2022-04-21,3680,3685,3580,3645,1137226,-2.02
125,2022-04-22,3635,3900,3545,3665,1814711,0.55
126,2022-04-25,3630,3630,3485,3485,592064,-4.91
127,2022-04-26,3500,3550,3450,3450,396846,-1.0
128,2022-04-27,3350,3450,3335,3395,437517,-1.59
129,2022-04-28,3400,3500,3395,3430,269290,1.03
130,2022-04-29,3460,3585,3440,3500,400627,2.04
131,2022-05-02,3450,3560,3445,3540,196514,1.14
132,2022-05-03,3555,3575,3520,3520,165538,-0.56
133,2022-05-04,3525,3550,3460,3500,226996,-0.57
134,2022-05-06,3450,3515,3445,3485,248507,-0.43
135,2022-05-09,3470,3530,3455,3465,305781,-0.57
136,2022-05-10,3410,3450,3305,3395,314097,-2.02
137,2022-05-11,3370,3435,3365,3400,125802,0.15
138,2022-05-12,3365,3400,3220,3220,337796,-5.29
139,2022-05-13,3220,3270,3205,3220,198745,0.0
140,2022-05-16,3405,3595,3325,3480,1215441,8.07
