,Date,Open,High,Low,Close,Volume,Change
0,2022-10-07,29500,34700,29500,30900,4824248,NaN
1,2022-10-11,30350,31800,27500,27500,843645,-11.0
2,2022-10-12,28150,33750,27350,30200,3632300,9.82
3,2022-10-13,31500,31550,27650,28100,714916,-6.95
4,2022-10-14,28800,28950,26600,26600,614149,-5.34
5,2022-10-17,25650,26000,24100,24650,344016,-7.33
6,2022-10-18,25450,26050,24100,24200,270550,-1.83
7,2022-10-19,24250,24550,23150,23400,200333,-3.31
8,2022-10-20,23400,24300,22800,22850,230090,-2.35
9,2022-10-21,22700,24900,22550,23500,265755,2.84
10,2022-10-24,23800,23950,22300,22300,136038,-5.11
11,2022-10-25,22750,22750,20800,20850,148037,-6.5
12,2022-10-26,21350,22750,20350,20700,205690,-0.72
13,2022-10-27,20850,21250,20550,20850,56436,0.72
14,2022-10-28,20900,22300,20700,21200,130529,1.68
15,2022-10-31,21450,21900,21200,21800,50121,2.83
16,2022-11-01,21900,22850,21650,21950,142740,0.69
17,2022-11-02,22700,22850,21900,22350,106860,1.82
18,2022-11-03,22000,22300,21650,21650,47818,-3.13
19,2022-11-04,21850,24500,21800,22850,412952,5.54
20,2022-11-07,22600,24350,22000,23250,241474,1.75
21,2022-11-08,22950,23200,22000,22250,126475,-4.3
22,2022-11-09,22100,22500,21800,22450,70950,0.9
23,2022-11-10,22050,22400,21400,22150,74399,-1.34
24,2022-11-11,22950,22950,21700,21950,91032,-0.9
25,2022-11-14,22050,22100,21550,21900,35982,-0.23
26,2022-11-15,21750,22100,21400,21450,43700,-2.05
27,2022-11-16,21500,21550,21050,21050,53006,-1.86
28,2022-11-17,21050,21950,20700,21700,50893,3.09
29,2022-11-18,21750,22250,21550,21550,49436,-0.69
30,2022-11-21,21400,21700,20650,20650,39275,-4.18
31,2022-11-22,20750,21000,20400,20650,28675,0.0
32,2022-11-23,20800,20800,20300,20350,31286,-1.45
33,2022-11-24,20350,20750,20250,20700,17843,1.72
34,2022-11-25,20650,20850,20450,20550,14459,-0.72
35,2022-11-28,20550,20550,19950,20000,25489,-2.68
36,2022-11-29,19700,20200,19500,20200,24042,1.0
