,Date,Open,High,Low,Close,Volume,Change
0,2022-10-18,3470,3870,3470,3870,9494166,NaN
1,2022-10-19,3870,4020,3170,3240,9072660,-16.28
2,2022-10-20,3150,3200,2885,2960,2470490,-8.64
3,2022-10-21,2940,3205,2850,2850,3010570,-3.72
4,2022-10-24,2850,3070,2800,2925,5145358,2.63
5,2022-10-25,3000,3025,2640,2645,2568132,-9.57
6,2022-10-26,2625,2640,2375,2590,2423175,-2.08
7,2022-10-27,2650,3365,2620,3000,25217415,15.83
8,2022-10-28,3000,3035,2735,2735,3101771,-8.83
9,2022-10-31,2730,2900,2555,2600,3348563,-4.94
10,2022-11-01,2560,2605,2475,2520,1161082,-3.08
11,2022-11-02,2530,2570,2410,2530,1401057,0.4
12,2022-11-03,2475,2575,2460,2500,986315,-1.19
13,2022-11-04,2480,2490,2400,2405,696079,-3.8
14,2022-11-07,2425,2425,2275,2350,888385,-2.29
15,2022-11-08,2335,2375,2325,2330,544163,-0.85
16,2022-11-09,2330,2530,2320,2390,1908208,2.58
17,2022-11-10,2355,2365,2300,2310,538497,-3.35
18,2022-11-11,2360,2460,2335,2430,1465740,5.19
19,2022-11-14,2460,3060,2440,2805,19130289,15.43
20,2022-11-15,2805,3220,2750,2980,13332874,6.24
21,2022-11-16,2945,3060,2875,2880,2686961,-3.36
22,2022-11-17,2880,2940,2730,2765,1282705,-3.99
23,2022-11-18,2740,2775,2665,2755,859640,-0.36
24,2022-11-21,2745,2750,2580,2580,836031,-6.35
25,2022-11-22,2540,2635,2505,2515,554896,-2.52
26,2022-11-23,2545,2555,2495,2520,377096,0.2
27,2022-11-24,2525,2670,2520,2610,763317,3.57
28,2022-11-25,2630,2665,2585,2600,453839,-0.38
29,2022-11-28,2610,2610,2435,2465,505807,-5.19
30,2022-11-29,2465,2525,2435,2500,266999,1.42
31,2022-11-30,2550,2720,2490,2720,1143089,8.8
32,2022-12-01,2690,2705,2605,2670,916376,-1.84
33,2022-12-02,2700,2800,2630,2735,1235430,2.43
34,2022-12-05,2735,2825,2685,2730,1109394,-0.18
35,2022-12-06,2715,2870,2650,2755,1918514,0.92
36,2022-12-07,2785,2920,2510,2565,3373663,-6.9
37,2022-12-08,2640,2700,2475,2510,1937914,-2.14
38,2022-12-09,2555,2695,2510,2515,1924168,0.2
39,2022-12-12,2510,2570,2455,2535,532490,0.8
40,2022-12-13,2550,2810,2520,2730,5703344,7.69
41,2022-12-14,2750,2780,2665,2740,975541,0.37
42,2022-12-15,2695,2740,2670,2715,629851,-0.91
43,2022-12-16,2650,2795,2645,2775,750911,2.21
44,2022-12-19,2770,2855,2705,2775,1457087,0.0
45,2022-12-20,2900,3060,2785,2975,10589158,7.21
46,2022-12-21,2920,3265,2915,3025,8913647,1.68
47,2022-12-22,3000,3015,2905,2910,1142545,-3.8
48,2022-12-23,2900,2905,2715,2760,1078014,-5.15
49,2022-12-26,2815,2920,2770,2815,2407557,1.99
50,2022-12-27,2770,2835,2560,2590,1146206,-7.99
51,2022-12-28,2590,2675,2535,2555,659979,-1.35
52,2022-12-29,2560,2570,2315,2385,1064001,-6.65
53,2023-01-02,2390,2420,2210,2215,715986,-7.13
54,2023-01-03,2205,2315,2145,2235,858171,0.9
55,2023-01-04,2205,2355,2205,2280,505288,2.01
56,2023-01-05,2305,2360,2260,2305,457170,1.1
57,2023-01-06,2280,2355,2275,2280,354132,-1.08
58,2023-01-09,2305,2370,2290,2345,557354,2.85
59,2023-01-10,2385,2525,2375,2385,1596925,1.71
60,2023-01-11,2400,2410,2345,2365,420343,-0.84
61,2023-01-12,2385,2385,2300,2300,551097,-2.75
62,2023-01-13,2300,2310,2260,2270,376957,-1.3
63,2023-01-16,2305,2365,2275,2340,369328,3.08
64,2023-01-17,2350,2355,2285,2310,323268,-1.28
65,2023-01-18,2305,2310,2250,2270,247420,-1.73
66,2023-01-19,2235,2300,2235,2265,158213,-0.22
67,2023-01-20,2270,2365,2260,2305,518769,1.77
68,2023-01-25,2370,2380,2300,2325,415059,0.87
69,2023-01-26,2340,2400,2320,2375,684398,2.15
70,2023-01-27,2380,2395,2340,2365,368888,-0.42
71,2023-01-30,2395,2435,2365,2415,523472,2.11
72,2023-01-31,2400,2450,2375,2450,843680,1.45
73,2023-02-01,2805,3185,2800,2915,33948603,18.98
74,2023-02-02,2955,3030,2905,3010,6408477,3.26
75,2023-02-03,2985,3020,2900,2915,2993628,-3.16
76,2023-02-06,2890,3635,2830,3275,32940279,12.35
77,2023-02-07,3245,3420,3200,3270,8490405,-0.15
78,2023-02-08,3305,3470,3230,3370,5951639,3.06
79,2023-02-09,3350,3410,3110,3140,2703242,-6.82
80,2023-02-10,3110,3145,2955,3020,1443129,-3.82
81,2023-02-13,3040,3050,2905,3000,894229,-0.66
82,2023-02-14,2965,3045,2895,2950,904187,-1.67
83,2023-02-15,2955,3025,2800,2805,939209,-4.92
84,2023-02-16,2820,2920,2805,2820,529600,0.53
85,2023-02-17,2800,2885,2670,2805,1175308,-0.53
86,2023-02-20,2865,2885,2790,2855,647337,1.78
87,2023-02-21,2845,3050,2725,2745,3169443,-3.85
88,2023-02-22,2690,2855,2655,2810,1226319,2.37
89,2023-02-23,2975,2980,2705,2835,2455911,0.89
90,2023-02-24,2870,2895,2740,2780,787673,-1.94
91,2023-02-27,2780,2860,2750,2780,483133,0.0
92,2023-02-28,2835,3115,2820,2955,4250849,6.29
93,2023-03-02,2955,3135,2935,3130,3084287,5.92
94,2023-03-03,3130,3170,3040,3130,1486145,0.0
95,2023-03-06,3120,3125,2975,3005,896209,-3.99
96,2023-03-07,3015,3040,2935,2945,446575,-2.0
97,2023-03-08,2870,3170,2865,3170,4186346,7.64
98,2023-03-09,3110,3130,2980,3020,1042457,-4.73
99,2023-03-10,2955,3070,2865,2945,704345,-2.48
100,2023-03-13,2885,2900,2765,2810,540833,-4.58
101,2023-03-14,2750,2820,2550,2585,642124,-8.01
102,2023-03-15,2625,2755,2625,2750,359872,6.38
103,2023-03-16,2695,2725,2655,2670,229025,-2.91
104,2023-03-17,2705,2845,2705,2845,301026,6.55
105,2023-03-20,2810,2885,2800,2850,215441,0.18
106,2023-03-21,3115,3280,2800,2800,4710833,-1.75
107,2023-03-22,2845,3050,2810,3005,2102417,7.32
108,2023-03-23,2955,2985,2850,2935,1033131,-2.33
109,2023-03-24,2935,3125,2925,3125,1956178,6.47
110,2023-03-27,3125,3155,3030,3065,1182752,-1.92
