,Date,Open,High,Low,Close,Volume,Change
0,2022-09-15,2120,2135,2110,2110,2515584,NaN
1,2022-09-16,2120,2120,2110,2115,129010,0.24
2,2022-09-19,2110,2120,2110,2110,102971,-0.24
3,2022-09-20,2110,2115,2110,2110,29889,0.0
4,2022-09-21,2110,2140,2110,2130,141790,0.95
5,2022-09-22,2140,2140,2115,2125,45077,-0.23
6,2022-09-23,2120,2130,2120,2125,15836,0.0
7,2022-09-26,2125,2130,2115,2115,85724,-0.47
8,2022-09-27,2110,2120,2110,2120,67920,0.24
9,2022-09-28,2115,2120,2105,2120,40386,0.0
10,2022-09-29,2110,2110,2100,2105,16409,-0.71
11,2022-09-30,2105,2110,2100,2105,10024,0.0
12,2022-10-04,2105,2110,2095,2110,26332,0.24
13,2022-10-05,2100,2105,2090,2100,36480,-0.47
14,2022-10-06,2095,2105,2090,2100,26692,0.0
15,2022-10-07,2090,2100,2090,2095,6083,-0.24
16,2022-10-11,2090,2095,2085,2095,59958,0.0
17,2022-10-12,2090,2095,2085,2085,32188,-0.48
18,2022-10-13,2085,2090,2070,2070,31256,-0.72
19,2022-10-14,2060,2070,2055,2065,24566,-0.24
20,2022-10-17,2090,2090,2050,2060,10552,-0.24
21,2022-10-18,2050,2070,2050,2060,3749,0.0
22,2022-10-19,2060,2060,2055,2060,16717,0.0
23,2022-10-20,2050,2055,2020,2025,47091,-1.7
24,2022-10-21,2025,2040,2025,2040,35270,0.74
25,2022-10-24,2030,2045,2030,2030,12439,-0.49
26,2022-10-25,2025,2035,2025,2035,5266,0.25
27,2022-10-26,2030,2035,2025,2035,23536,0.0
28,2022-10-27,2035,2035,2025,2035,8630,0.0
29,2022-10-28,2025,2030,2010,2030,53705,-0.25
30,2022-10-31,2030,2035,2025,2025,21397,-0.25
31,2022-11-01,2025,2025,2010,2015,34644,-0.49
32,2022-11-02,2015,2020,2010,2015,15579,0.0
33,2022-11-03,2005,2005,1995,2005,10882,-0.5
34,2022-11-04,1995,2005,1995,2005,7135,0.0
35,2022-11-07,1995,2010,1995,2010,8239,0.25
36,2022-11-08,2010,2010,1995,2000,5645,-0.5
37,2022-11-09,2000,2005,1995,2005,2006,0.25
38,2022-11-10,2005,2015,2000,2005,14343,0.0
39,2022-11-11,2000,2015,2000,2015,6321,0.5
40,2022-11-14,2010,2020,2010,2020,11448,0.25
41,2022-11-15,2020,2020,2015,2020,11786,0.0
42,2022-11-16,2015,2020,2005,2005,10983,-0.74
43,2022-11-17,2005,2020,2005,2020,2003,0.75
44,2022-11-18,2010,2020,2005,2020,3913,0.0
45,2022-11-21,2010,2010,2005,2010,13073,-0.5
46,2022-11-22,2010,2010,2000,2000,30295,-0.5
47,2022-11-23,2005,2005,1995,1995,16274,-0.25
48,2022-11-24,2000,2005,1995,2000,2995,0.25
49,2022-11-25,2000,2005,1995,2000,9293,0.0
50,2022-11-28,1995,2005,1995,2000,15249,0.0
51,2022-11-29,1990,2005,1990,2000,2384,0.0
52,2022-11-30,2000,2005,2000,2005,318,0.25
53,2022-12-01,2015,2015,1990,1995,30471,-0.5
54,2022-12-02,1990,2000,1990,2000,4155,0.25
55,2022-12-05,1995,2000,1990,1990,8991,-0.5
56,2022-12-06,1990,2000,1985,1995,2593,0.25
57,2022-12-07,1995,2020,1990,1990,28323,-0.25
58,2022-12-08,1990,2000,1990,1995,3629,0.25
59,2022-12-09,1995,2000,1995,2000,2344,0.25
60,2022-12-12,1995,2010,1995,2005,8136,0.25
61,2022-12-13,2000,2005,1995,2005,14061,0.0
62,2022-12-14,1990,2000,1985,2000,6568,-0.25
63,2022-12-15,2000,2005,1995,1995,6665,-0.25
64,2022-12-16,1995,2000,1995,2000,8717,0.25
65,2022-12-19,2005,2010,2005,2005,12282,0.25
66,2022-12-20,1995,2010,1995,2010,24549,0.25
67,2022-12-21,1995,2015,1995,1995,3641,-0.75
68,2022-12-22,2005,2010,2005,2005,4301,0.5
69,2022-12-23,2005,2015,2005,2015,3555,0.5
70,2022-12-26,2005,2020,2005,2010,2176,-0.25
71,2022-12-27,1995,2020,1995,2010,3197,0.0
72,2022-12-28,2020,2020,1995,2005,2640,-0.25
73,2022-12-29,2010,2015,2010,2010,8172,0.25
74,2023-01-02,2000,2015,2000,2010,1666,0.0
75,2023-01-03,2015,2015,2000,2000,8962,-0.5
76,2023-01-04,2000,2010,2000,2005,31440,0.25
77,2023-01-05,2005,2005,2000,2005,1861,0.0
78,2023-01-06,2000,2010,2000,2005,4127,0.0
79,2023-01-09,2005,2010,2005,2010,2783,0.25
80,2023-01-10,2005,2015,2000,2010,18402,0.0
81,2023-01-11,2015,2015,2010,2010,4670,0.0
82,2023-01-12,2005,2030,2005,2030,22821,1.0
83,2023-01-13,2015,2025,2015,2025,22475,-0.25
84,2023-01-16,2025,2035,2025,2025,17259,0.0
85,2023-01-17,2020,2030,2020,2025,7023,0.0
86,2023-01-18,2025,2025,2000,2010,11367,-0.74
87,2023-01-19,2005,2015,2005,2010,8572,0.0
88,2023-01-20,2010,2015,2010,2015,9982,0.25
89,2023-01-25,2010,2030,2010,2030,7382,0.74
90,2023-01-26,2030,2035,2030,2030,2768,0.0
91,2023-01-27,2030,2035,2030,2035,3500,0.25
92,2023-01-30,2035,2040,2035,2035,5204,0.0
93,2023-01-31,2045,2045,2035,2035,5008,0.0
94,2023-02-01,2035,2060,2035,2035,10952,0.0
95,2023-02-02,2050,2050,2030,2040,4680,0.25
96,2023-02-03,2030,2055,2020,2045,6425,0.25
97,2023-02-06,2045,2055,2045,2050,3282,0.24
98,2023-02-07,2050,2055,2045,2045,10506,-0.24
99,2023-02-08,2045,2055,2045,2045,6669,0.0
100,2023-02-09,2035,2055,2035,2055,6414,0.49
101,2023-02-10,2045,2060,2045,2055,2939,0.0
102,2023-02-13,2045,2065,2045,2060,1570,0.24
103,2023-02-14,2050,2055,2050,2055,6070,-0.24
104,2023-02-15,2055,2065,2055,2060,1285,0.24
105,2023-02-16,2065,2070,2060,2065,1681,0.24
106,2023-02-17,2060,2080,2060,2070,10632,0.24
107,2023-02-20,2060,2080,2060,2075,10338,0.24
108,2023-02-21,2090,2090,2070,2075,1475,0.0
109,2023-02-22,2075,2095,2070,2075,9976,0.0
110,2023-02-23,2080,2100,2075,2095,5382,0.96
111,2023-02-24,2095,2100,2085,2100,16390,0.24
112,2023-02-27,2095,2115,2090,2110,6835,0.48
113,2023-02-28,2090,2100,2090,2100,1143,-0.47
114,2023-03-02,2115,2115,2100,2105,31510,0.24
115,2023-03-03,2085,2115,2085,2105,8995,0.0
116,2023-03-06,2095,2105,2095,2105,3010,0.0
117,2023-03-07,2090,2110,2075,2105,7485,0.0
118,2023-03-08,2090,2105,2075,2105,2411,0.0
119,2023-03-09,2090,2105,2070,2105,6552,0.0
120,2023-03-10,2090,2120,2075,2100,12933,-0.24
121,2023-03-13,2075,2105,2075,2100,5512,0.0
122,2023-03-14,2080,2100,2060,2065,3977,-1.67
123,2023-03-15,2065,2065,2055,2055,1443,-0.48
124,2023-03-16,2055,2095,2055,2090,4110,1.7
125,2023-03-17,2090,2100,2090,2100,8879,0.48
126,2023-03-20,2105,2225,2085,2085,104188,-0.71
127,2023-03-21,2105,2120,2100,2120,13793,1.68
128,2023-03-22,2115,2225,2095,2115,35029,-0.24
129,2023-03-23,2130,2135,2100,2105,16260,-0.47
130,2023-03-24,2120,2195,2095,2120,26628,0.71
131,2023-03-27,2120,2140,2085,2135,34784,0.71
132,2023-03-28,2095,2175,2095,2150,38791,0.7
133,2023-03-29,2150,2150,2100,2135,8547,-0.7
134,2023-03-30,2120,2210,2105,2140,53901,0.23
135,2023-03-31,2185,2185,2145,2160,18038,0.93
136,2023-04-03,2160,2190,2160,2170,15175,0.46
137,2023-04-04,2180,2180,2165,2175,6852,0.23
138,2023-04-05,2180,2190,2170,2190,13098,0.69
139,2023-04-06,2190,2195,2150,2195,10632,0.23
140,2023-04-07,2160,2190,2155,2170,1243,-1.14
141,2023-04-10,2170,2170,2145,2145,57311,-1.15
142,2023-04-11,2125,2160,2125,2130,8374,-0.7
143,2023-04-12,2130,2190,2130,2160,27350,1.41
144,2023-04-13,2185,2235,2165,2190,59572,1.39
145,2023-04-14,2230,2265,2200,2230,89198,1.83
146,2023-04-17,2200,2250,2180,2200,59129,-1.35
147,2023-04-18,2200,2240,2195,2200,31863,0.0
148,2023-04-19,2220,2270,2200,2230,90792,1.36
149,2023-04-20,2230,2235,2210,2235,5805,0.22
150,2023-04-21,2245,2245,2215,2240,15933,0.22
151,2023-04-24,2230,2235,2205,2220,11224,-0.89
152,2023-04-25,2220,2220,2200,2210,17482,-0.45
153,2023-04-26,2220,2245,2220,2220,24144,0.45
154,2023-04-27,2220,2255,2200,2225,15804,0.23
155,2023-04-28,2210,2290,2200,2230,39423,0.22
156,2023-05-02,2230,2245,2220,2245,26943,0.67
