,Date,Open,High,Low,Close,Volume,Change
0,2022-10-20,2060,2065,2055,2055,1082762,NaN
1,2022-10-21,2055,2055,2040,2045,82654,-0.49
2,2022-10-24,2045,2045,2035,2040,23717,-0.24
3,2022-10-25,2035,2050,2030,2035,34214,-0.25
4,2022-10-26,2030,2050,2025,2035,27279,0.0
5,2022-10-27,2035,2045,2025,2035,15489,0.0
6,2022-10-28,2035,2045,2035,2040,19745,0.25
7,2022-10-31,2040,2045,2040,2040,8170,0.0
8,2022-11-01,2040,2045,2035,2040,18672,0.0
9,2022-11-02,2040,2040,2030,2035,26132,-0.25
10,2022-11-03,2030,2030,2020,2025,23677,-0.49
11,2022-11-04,2020,2025,2010,2015,24612,-0.49
12,2022-11-07,2015,2030,2015,2020,7514,0.25
13,2022-11-08,2020,2025,2020,2020,5141,0.0
14,2022-11-09,2020,2025,2015,2020,7706,0.0
15,2022-11-10,2025,2025,2015,2020,4802,0.0
16,2022-11-11,2020,2030,2020,2025,2865,0.25
17,2022-11-14,2025,2030,2025,2025,1090,0.0
18,2022-11-15,2025,2035,2025,2030,16311,0.25
19,2022-11-16,2035,2060,2035,2040,9717,0.49
20,2022-11-17,2040,2045,2040,2040,7868,0.0
21,2022-11-18,2040,2050,2035,2035,5189,-0.25
22,2022-11-21,2010,2020,2005,2010,101212,-1.23
23,2022-11-22,2010,2020,2005,2015,6156,0.25
24,2022-11-23,2015,2020,2010,2010,29620,-0.25
25,2022-11-24,2005,2015,2005,2010,14920,0.0
26,2022-11-25,2010,2020,2010,2010,27447,0.0
27,2022-11-28,2010,2015,2005,2015,13169,0.25
28,2022-11-29,2005,2015,2005,2010,36766,-0.25
29,2022-11-30,2015,2015,2005,2005,16758,-0.25
30,2022-12-01,2005,2015,2005,2010,32988,0.25
31,2022-12-02,2010,2020,2000,2005,26499,-0.25
32,2022-12-05,2005,2020,2005,2005,13895,0.0
33,2022-12-06,2005,2015,2000,2010,21377,0.25
34,2022-12-07,2010,2015,1995,2010,23379,0.0
35,2022-12-08,2000,2010,2000,2005,8001,-0.25
36,2022-12-09,2000,2010,2000,2005,1134,0.0
37,2022-12-12,2005,2015,2005,2015,2557,0.5
38,2022-12-13,2005,2025,2005,2020,2590,0.25
39,2022-12-14,2000,2025,2000,2020,9257,0.0
40,2022-12-15,2015,2025,2015,2020,2840,0.0
41,2022-12-16,2015,2030,2015,2025,12520,0.25
42,2022-12-19,2005,2030,2005,2025,9177,0.0
43,2022-12-20,2020,2035,2020,2020,11286,-0.25
44,2022-12-21,2020,2030,2020,2025,3793,0.25
45,2022-12-22,2020,2030,2020,2025,6396,0.0
46,2022-12-23,2025,2030,2025,2030,8305,0.25
47,2022-12-26,2025,2040,2025,2035,7678,0.25
48,2022-12-27,2035,2045,2035,2040,5560,0.25
49,2022-12-28,2050,2050,2025,2035,680,-0.25
50,2022-12-29,2035,2040,2030,2035,3614,0.0
51,2023-01-02,2030,2050,2030,2045,5561,0.49
52,2023-01-03,2040,2050,2035,2040,6959,-0.24
53,2023-01-04,2045,2050,2045,2045,7925,0.25
54,2023-01-05,2045,2050,2045,2045,2159,0.0
55,2023-01-06,2050,2055,2045,2050,5849,0.24
56,2023-01-09,2050,2060,2050,2055,22966,0.24
57,2023-01-10,2045,2060,2045,2060,9206,0.24
58,2023-01-11,2060,2070,2060,2065,7518,0.24
59,2023-01-12,2065,2070,2065,2065,2538,0.0
60,2023-01-13,2065,2075,2065,2070,7095,0.24
61,2023-01-16,2070,2075,2070,2070,8147,0.0
62,2023-01-17,2070,2075,2065,2070,904,0.0
63,2023-01-18,2070,2070,2065,2065,3418,-0.24
64,2023-01-19,2070,2070,2065,2065,4632,0.0
65,2023-01-20,2050,2100,2020,2100,139355,1.69
66,2023-01-25,2070,2090,2030,2075,40986,-1.19
67,2023-01-26,2060,2075,2060,2070,5271,-0.24
68,2023-01-27,2070,2090,2060,2075,6405,0.24
69,2023-01-30,2065,2095,2065,2080,2750,0.24
70,2023-01-31,2080,2130,2080,2110,26300,1.44
71,2023-02-01,2100,2135,2100,2135,3384,1.18
72,2023-02-02,2125,2150,2125,2145,9899,0.47
73,2023-02-03,2130,2160,2130,2160,26562,0.7
74,2023-02-06,2160,2160,2125,2135,10257,-1.16
75,2023-02-07,2135,2150,2125,2135,19615,0.0
76,2023-02-08,2120,2130,2120,2130,5972,-0.23
77,2023-02-09,2120,2135,2100,2130,9858,0.0
78,2023-02-10,2130,2140,2125,2130,22028,0.0
79,2023-02-13,2130,2145,2130,2140,2423,0.47
80,2023-02-14,2140,2160,2115,2135,9769,-0.23
81,2023-02-15,2115,2150,2115,2140,4627,0.23
82,2023-02-16,2150,2160,2135,2150,18693,0.47
83,2023-02-17,2155,2165,2150,2150,14565,0.0
84,2023-02-20,2175,2175,2140,2165,7320,0.7
85,2023-02-21,2165,2200,2165,2170,25226,0.23
86,2023-02-22,2145,2200,2145,2185,8979,0.69
87,2023-02-23,2185,2210,2185,2200,11465,0.69
88,2023-02-24,2200,2215,2185,2195,23409,-0.23
89,2023-02-27,2195,2200,2185,2190,5865,-0.23
90,2023-02-28,2170,2200,2170,2200,14267,0.46
91,2023-03-02,2195,2210,2190,2205,9582,0.23
92,2023-03-03,2205,2205,2175,2205,9513,0.0
93,2023-03-06,2200,2210,2185,2190,22554,-0.68
94,2023-03-07,2190,2195,2160,2195,6600,0.23
95,2023-03-08,2200,2200,2160,2180,14306,-0.68
96,2023-03-09,2160,2175,2150,2160,18324,-0.92
97,2023-03-10,2150,2165,2140,2165,7265,0.23
98,2023-03-13,2165,2165,2135,2155,2272,-0.46
99,2023-03-14,2130,2175,2130,2135,10274,-0.93
100,2023-03-15,2135,2185,2130,2135,1436,0.0
101,2023-03-16,2135,2180,2075,2110,10375,-1.17
102,2023-03-17,2110,2150,2105,2110,2531,0.0
103,2023-03-20,2110,2185,2110,2125,8535,0.71
104,2023-03-21,2105,2210,2105,2200,37845,3.53
105,2023-03-22,2155,2205,2155,2195,3690,-0.23
106,2023-03-23,2145,2210,2125,2150,10036,-2.05
107,2023-03-24,2110,2220,2110,2145,17222,-0.23
108,2023-03-27,2145,2145,2120,2140,24576,-0.23
109,2023-03-28,2125,2145,2110,2140,15288,0.0
110,2023-03-29,2110,2120,2090,2095,37046,-2.1
111,2023-03-30,2095,2130,2095,2115,2173,0.95
112,2023-03-31,2120,2170,2120,2140,2083,1.18
113,2023-04-03,2140,2180,2140,2170,5401,1.4
114,2023-04-04,2200,2200,2170,2185,7476,0.69
115,2023-04-05,2180,2185,2175,2175,4160,-0.46
116,2023-04-06,2155,2180,2155,2180,7609,0.23
117,2023-04-07,2175,2175,2170,2175,1368,-0.23
118,2023-04-10,2145,2155,2145,2150,8633,-1.15
119,2023-04-11,2150,2150,2135,2150,11283,0.0
120,2023-04-12,2135,2150,2135,2150,4196,0.0
121,2023-04-13,2145,2150,2140,2140,6613,-0.47
122,2023-04-14,2140,2170,2140,2145,7070,0.23
123,2023-04-17,2145,2180,2135,2180,5357,1.63
124,2023-04-18,2175,2180,2160,2180,3249,0.0
125,2023-04-19,0,0,0,2180,0,0.0
126,2023-04-20,0,0,0,2180,0,0.0
127,2023-04-21,0,0,0,2180,0,0.0
128,2023-04-24,0,0,0,2180,0,0.0
129,2023-04-25,0,0,0,2180,0,0.0
130,2023-04-26,0,0,0,2180,0,0.0
131,2023-04-27,0,0,0,2180,0,0.0
132,2023-04-28,0,0,0,2180,0,0.0
133,2023-05-02,0,0,0,2180,0,0.0
