,Date,Open,High,Low,Close,Volume,Change
0,2010-11-30,3516,3614,2992,2993,28331693,NaN
1,2010-12-01,2939,3064,2857,3061,12982059,2.27
2,2010-12-02,3088,3309,3029,3032,12188381,-0.95
3,2010-12-03,3029,3064,2717,2767,6687950,-8.74
4,2010-12-06,2804,2842,2601,2684,3937361,-3.0
5,2010-12-07,2745,2799,2548,2690,4502158,0.22
6,2010-12-08,2654,2717,2412,2608,7962145,-3.05
7,2010-12-09,2610,2707,2591,2690,2500502,3.14
8,2010-12-10,2711,2751,2639,2675,2076912,-0.56
9,2010-12-13,2745,2760,2558,2559,2148626,-4.34
10,2010-12-14,2561,2624,2480,2482,1721394,-3.01
11,2010-12-15,2515,2567,2461,2497,2038182,0.6
12,2010-12-16,2505,2548,2432,2453,1595316,-1.76
13,2010-12-17,2447,2471,2365,2390,1808707,-2.57
14,2010-12-20,2319,2341,2251,2324,1544613,-2.76
15,2010-12-21,2365,2490,2335,2430,1868227,4.56
16,2010-12-22,2432,2505,2401,2459,1171530,1.19
17,2010-12-23,2485,2490,2374,2390,1274648,-2.81
18,2010-12-24,2394,2461,2323,2430,845246,1.67
19,2010-12-27,2456,2721,2452,2477,6158706,1.93
20,2010-12-28,2461,2505,2377,2459,1589100,-0.73
21,2010-12-29,2427,2528,2399,2430,948482,-1.18
22,2010-12-30,2389,2499,2381,2482,1579056,2.14
23,2011-01-03,2548,2851,2533,2786,9408555,12.25
24,2011-01-04,2817,2939,2731,2844,5829972,2.08
25,2011-01-05,2827,2976,2784,2959,4207260,4.04
26,2011-01-06,3015,3020,2857,2882,3210710,-2.6
27,2011-01-07,2881,2952,2808,2955,2461899,2.53
28,2011-01-10,2952,2982,2905,2969,2129450,0.47
29,2011-01-11,2992,3136,2939,3036,4032294,2.26
30,2011-01-12,3088,3227,3034,3109,4895938,2.4
31,2011-01-13,3130,3155,3015,3104,1934953,-0.16
32,2011-01-14,3107,3107,2973,3036,1893218,-2.19
