,Date,Open,High,Low,Close,Volume,Change
0,2011-06-13,3850,4085,3275,3275,7846956,-14.94
1,2011-06-14,3215,3425,3100,3235,3706894,-1.22
2,2011-06-15,3265,3415,3180,3235,2268564,0.0
3,2011-06-16,3220,3535,3195,3360,2688968,3.86
4,2011-06-17,3480,3570,3260,3330,2025309,-0.89
5,2011-06-20,3405,3425,3300,3305,656469,-0.75
6,2011-06-21,3330,3370,3155,3215,837314,-2.72
7,2011-06-22,3240,3310,3200,3220,673202,0.16
8,2011-06-23,3180,3235,3085,3085,557129,-4.19
9,2011-06-24,3085,3185,3070,3130,397231,1.46
10,2011-06-27,3130,3225,3075,3140,467540,0.32
11,2011-06-28,3180,3195,3100,3100,312352,-1.27
12,2011-06-29,3170,3170,3085,3100,189911,0.0
13,2011-06-30,3100,3130,3060,3080,223862,-0.65
14,2011-07-01,3300,3315,3100,3115,699539,1.14
15,2011-07-04,3125,3365,3115,3260,674075,4.65
16,2011-07-05,3280,3305,3200,3235,273804,-0.77
17,2011-07-06,3275,3275,3190,3230,187860,-0.15
18,2011-07-07,3230,3230,3140,3170,295956,-1.86
19,2011-07-08,3190,3200,3085,3085,199267,-2.68
20,2011-07-11,3100,3100,3030,3045,209896,-1.3
21,2011-07-12,3020,3045,2900,2910,323378,-4.43
22,2011-07-13,2975,2975,2475,2710,658129,-6.87
23,2011-07-14,2740,2740,2625,2650,141491,-2.21
24,2011-07-15,2660,2830,2650,2760,281907,4.15
25,2011-07-18,2780,2850,2740,2850,210520,3.26
26,2011-07-19,2850,3005,2830,2970,289826,4.21
27,2011-07-20,3030,3180,2970,3120,359345,5.05
28,2011-07-21,3175,3260,3045,3120,151522,0.0
29,2011-07-22,3165,3255,3080,3240,220610,3.85
30,2011-07-25,3185,3245,3130,3240,72229,0.0
31,2011-07-26,3240,3260,3140,3185,73370,-1.7
32,2011-07-27,3135,3270,3135,3225,118906,1.26
33,2011-07-28,3205,3285,3155,3270,117472,1.4
34,2011-07-29,3340,3340,3210,3285,53049,0.46
35,2011-08-01,3290,3365,3215,3265,181427,-0.61
36,2011-08-02,3265,3300,3180,3265,139350,0.0
37,2011-08-03,3240,3385,3175,3320,201094,1.68
38,2011-08-04,3355,3435,3280,3315,174688,-0.15
39,2011-08-05,3005,3330,3005,3305,226104,-0.3
40,2011-08-08,3180,3350,2970,3170,153194,-4.08
41,2011-08-09,3100,3200,2705,3200,135003,0.95
42,2011-08-10,3295,3295,3100,3100,176082,-3.13
43,2011-08-11,2830,3295,2830,3295,205811,6.29
44,2011-08-12,3300,3330,3150,3285,134750,-0.3
45,2011-08-16,3390,3500,3050,3335,453691,1.52
46,2011-08-17,3350,3445,3180,3390,159092,1.65
47,2011-08-18,3320,3400,3220,3380,159071,-0.29
48,2011-08-19,3220,3295,3160,3170,171846,-6.21
49,2011-08-22,3090,3225,3000,3215,115545,1.42
50,2011-08-23,3320,3395,3200,3395,133969,5.6
51,2011-08-24,3450,3750,3340,3550,362482,4.57
52,2011-08-25,3650,3950,3580,3750,339476,5.63
53,2011-08-26,3750,3940,3745,3840,297268,2.4
54,2011-08-29,3840,3905,3790,3845,191517,0.13
55,2011-08-30,3810,3905,3720,3900,152444,1.43
56,2011-08-31,3910,4070,3850,4000,351285,2.56
57,2011-09-01,4000,4045,3800,3910,153025,-2.25
58,2011-09-02,3850,3950,3760,3940,130810,0.77
59,2011-09-05,3890,3970,3600,3860,110080,-2.03
60,2011-09-06,3950,3950,3540,3695,247322,-4.27
61,2011-09-07,3800,4100,3755,4100,717529,10.96
62,2011-09-08,4250,4620,4240,4450,2806281,8.54
63,2011-09-09,4390,4745,4320,4625,1423791,3.93
64,2011-09-14,4625,4970,4610,4830,1526919,4.43
65,2011-09-15,4995,4995,4705,4855,2058419,0.52
66,2011-09-16,4860,5410,4780,5100,1614778,5.05
67,2011-09-19,5190,5280,5060,5120,904507,0.39
68,2011-09-20,5120,5540,4850,5240,795460,2.34
69,2011-09-21,5280,5530,5210,5450,630425,4.01
70,2011-09-22,5370,5930,5290,5730,827525,5.14
71,2011-09-23,5610,5930,5500,5520,1312456,-3.66
72,2011-09-26,5730,5730,4770,5100,1114034,-7.61
73,2011-09-27,5300,5730,5190,5670,830473,11.18
74,2011-09-28,5840,5880,5380,5550,485111,-2.12
75,2011-09-29,5450,6000,5340,5910,809643,6.49
76,2011-09-30,6010,6080,5780,5850,456808,-1.02
77,2011-10-04,5560,5790,5480,5500,394828,-5.98
78,2011-10-05,5600,5630,4955,5100,954490,-7.27
79,2011-10-06,5320,5410,4775,4870,756324,-4.51
80,2011-10-07,4910,5350,4690,5110,634833,4.93
81,2011-10-10,5120,5310,4980,5190,355181,1.57
82,2011-10-11,5300,5600,5210,5380,500355,3.66
83,2011-10-12,5380,5600,5340,5510,499721,2.42
84,2011-10-13,5560,5610,5460,5500,282252,-0.18
85,2011-10-14,5500,5710,5140,5710,460691,3.82
86,2011-10-17,5850,5850,5500,5500,369329,-3.68
87,2011-10-18,5400,5400,5160,5300,308858,-3.64
88,2011-10-19,5310,5510,5260,5260,358780,-0.75
89,2011-10-20,5350,5380,4885,4910,244997,-6.65
90,2011-10-21,4980,5240,4890,5200,275446,5.91
91,2011-10-24,5450,5450,5200,5280,164070,1.54
92,2011-10-25,5330,5330,5050,5170,220055,-2.08
93,2011-10-26,5050,5470,5020,5430,293609,5.03
94,2011-10-27,5460,5620,5370,5500,353569,1.29
95,2011-10-28,5590,5590,5360,5360,143015,-2.55
96,2011-10-31,5410,5420,5140,5370,158841,0.19
