,Date,Open,High,Low,Close,Volume,Change
0,2018-04-06,14050,18150,13600,16300,25728117,NaN
1,2018-04-09,16300,18200,16250,17000,5844847,4.29
2,2018-04-10,16900,16900,15450,16450,2708657,-3.24
3,2018-04-11,16800,17150,16150,16150,1500782,-1.82
4,2018-04-12,15950,16050,15250,15300,1208193,-5.26
5,2018-04-13,15300,15950,14800,15050,1255508,-1.63
6,2018-04-16,15200,15850,14950,15450,1115580,2.66
7,2018-04-17,15300,17350,15250,17050,2319181,10.36
8,2018-04-18,17400,18100,16900,17900,3211502,4.99
9,2018-04-19,18400,19050,17550,19050,2767071,6.42
10,2018-04-20,18950,19100,18450,18800,1017122,-1.31
11,2018-04-23,18400,18650,17500,17950,1276879,-4.52
12,2018-04-24,17850,18600,17400,18150,745840,1.11
13,2018-04-25,17800,18000,16950,17350,868744,-4.41
14,2018-04-26,17200,17450,16400,16700,700758,-3.75
15,2018-04-27,16600,16700,15550,16200,925553,-2.99
16,2018-04-30,16200,16200,14600,14950,1367519,-7.72
17,2018-05-02,14950,15300,14100,14400,929710,-3.68
18,2018-05-03,14550,15550,14450,15100,745258,4.86
19,2018-05-04,14950,16300,14950,16150,1041491,6.95
20,2018-05-08,15550,15700,14600,14600,1331400,-9.6
21,2018-05-09,14600,15750,14500,15650,908772,7.19
22,2018-05-10,15500,16700,15300,16450,1174864,5.11
23,2018-05-11,16300,16750,16000,16300,471058,-0.91
24,2018-05-14,16400,16750,15700,16000,383191,-1.84
25,2018-05-15,16000,16100,15300,15500,296275,-3.12
26,2018-05-16,15300,15400,14650,15000,580253,-3.23
27,2018-05-17,15150,15300,14750,15100,282395,0.67
28,2018-05-18,15000,16250,15000,16050,948369,6.29
29,2018-05-21,16000,16550,15700,16100,548524,0.31
30,2018-05-23,16200,16200,15500,15650,364214,-2.8
31,2018-05-24,15650,15650,15050,15250,406775,-2.56
32,2018-05-25,15000,15450,14700,14700,617052,-3.61
33,2018-05-28,14750,15100,14500,14550,378279,-1.02
34,2018-05-29,14650,15000,14150,14200,639628,-2.41
35,2018-05-30,14050,14100,13050,13550,845068,-4.58
36,2018-05-31,13850,13850,12900,13000,445167,-4.06
37,2018-06-01,13300,14050,12800,13850,517798,6.54
38,2018-06-04,13850,14450,13850,14250,475307,2.89
39,2018-06-05,14450,14850,14250,14450,473471,1.4
40,2018-06-07,14300,14850,13650,14300,401461,-1.04
41,2018-06-08,14100,14400,13900,14150,308602,-1.05
42,2018-06-11,14150,14150,13550,13650,196654,-3.53
43,2018-06-12,13700,14450,13400,14050,306158,2.93
44,2018-06-14,14150,14350,13450,13600,299539,-3.2
45,2018-06-15,13750,13850,13150,13550,208850,-0.37
46,2018-06-18,13400,13700,11550,11900,809057,-12.18
47,2018-06-19,12000,13200,11300,12950,964307,8.82
48,2018-06-20,12650,13100,12250,12500,342834,-3.47
49,2018-06-21,12450,12950,12350,12500,316569,0.0
50,2018-06-22,12450,12700,11500,11800,425046,-5.6
51,2018-06-25,11800,11850,11050,11050,480338,-6.36
52,2018-06-26,11000,11750,10750,11550,353868,4.52
53,2018-06-27,11700,12050,11500,11500,221127,-0.43
54,2018-06-28,11300,12250,11300,11800,334047,2.61
55,2018-06-29,11850,12150,11300,11700,266371,-0.85
56,2018-07-02,11800,13000,11650,12500,681694,6.84
57,2018-07-03,12600,13350,12450,12750,624640,2.0
58,2018-07-04,12750,13100,12150,12300,268725,-3.53
59,2018-07-05,12750,13350,11900,12350,670812,0.41
60,2018-07-06,11800,13550,11650,13400,1994743,8.5
61,2018-07-09,13150,13950,13000,13950,1102927,4.1
62,2018-07-10,13950,14400,13350,13900,684559,-0.36
63,2018-07-11,13850,14150,13250,13250,566497,-4.68
64,2018-07-12,13150,13350,12650,12800,668024,-3.4
65,2018-07-13,12950,13150,12300,12600,492366,-1.56
66,2018-07-16,12550,12800,11500,11550,935596,-8.33
67,2018-07-17,11600,11850,11100,11650,626449,0.87
68,2018-07-18,11800,11850,10850,11050,736474,-5.15
69,2018-07-19,11000,11300,10500,10650,588886,-3.62
70,2018-07-20,10600,10650,9600,9720,1017723,-8.73
71,2018-07-23,9750,9850,9060,9160,830512,-5.76
72,2018-07-24,9170,9930,9160,9620,614152,5.02
73,2018-07-25,9640,10200,9250,9520,665286,-1.04
74,2018-07-26,9540,10900,9540,10650,1240295,11.87
75,2018-07-27,10750,11200,10550,10800,360363,1.41
76,2018-07-30,11200,11500,10950,11100,424283,2.78
77,2018-07-31,11150,11300,10800,10950,204229,-1.35
78,2018-08-01,11050,11600,10800,11200,472972,2.28
79,2018-08-02,11350,11500,10800,10850,251377,-3.12
80,2018-08-03,10900,11000,10350,10450,311332,-3.69
81,2018-08-06,10450,10550,9860,9960,515787,-4.69
82,2018-08-07,10000,10150,9830,9940,332667,-0.2
83,2018-08-08,9990,10200,9620,9650,391019,-2.92
84,2018-08-09,9610,9800,9530,9670,297139,0.21
85,2018-08-10,9690,9700,9450,9500,232050,-1.76
86,2018-08-13,9590,9590,9100,9150,300821,-3.68
87,2018-08-14,9420,9850,9170,9680,475045,5.79
88,2018-08-16,9480,9620,9210,9370,330856,-3.2
89,2018-08-17,9470,9740,9400,9480,230043,1.17
90,2018-08-20,9520,9660,9370,9380,160688,-1.05
91,2018-08-21,9520,10100,9500,9660,708612,2.99
92,2018-08-22,9750,10400,9710,10150,570433,5.07
93,2018-08-23,10200,10400,9960,10300,333558,1.48
94,2018-08-24,10150,10200,9690,9790,650278,-4.95
95,2018-08-27,9860,10300,9690,10050,490687,2.66
96,2018-08-28,10050,10400,9920,10100,310655,0.5
97,2018-08-29,10000,10400,9850,9920,354272,-1.78
98,2018-08-30,9910,10250,9910,10000,310261,0.81
99,2018-08-31,10050,10150,9860,9890,264442,-1.1
100,2018-09-03,9970,9970,9630,9770,307871,-1.21
101,2018-09-04,9820,10100,9740,10050,295576,2.87
102,2018-09-05,10150,10200,9850,9850,228727,-1.99
103,2018-09-06,9780,9950,9390,9440,490753,-4.16
104,2018-09-07,9390,9410,9170,9260,332796,-1.91
105,2018-09-10,9250,9600,9070,9530,261773,2.92
106,2018-09-11,9630,9630,9320,9350,160261,-1.89
107,2018-09-12,9480,9480,9190,9410,213765,0.64
108,2018-09-13,9410,9500,9220,9230,186454,-1.91
109,2018-09-14,9330,9370,9210,9230,201972,0.0
110,2018-09-17,9230,9290,9060,9070,286581,-1.73
111,2018-09-18,9070,9160,8990,9000,294338,-0.77
112,2018-09-19,9030,9230,8900,8900,358515,-1.11
113,2018-09-20,8900,9080,8750,9000,281991,1.12
114,2018-09-21,9000,9140,8900,8990,190303,-0.11
115,2018-09-27,8910,8960,8780,8780,210626,-2.34
116,2018-09-28,8900,8930,8740,8750,152332,-0.34
117,2018-10-01,8760,8760,8470,8620,305419,-1.49
118,2018-10-02,8630,8970,8580,8610,258248,-0.12
119,2018-10-04,8670,8730,8340,8370,218956,-2.79
120,2018-10-05,8360,8380,8070,8180,197344,-2.27
121,2018-10-08,8190,8190,8020,8040,148305,-1.71
122,2018-10-10,8020,8150,7400,7480,441297,-6.97
123,2018-10-11,7100,7260,6980,6980,369226,-6.68
124,2018-10-12,6980,7260,6970,7100,419410,1.72
125,2018-10-15,7130,8100,7130,7490,1312639,5.49
126,2018-10-16,7470,7720,7400,7430,227200,-0.8
127,2018-10-17,7580,7680,7300,7300,237730,-1.75
128,2018-10-18,7300,7450,7270,7310,82220,0.14
129,2018-10-19,7170,7410,7060,7320,158225,0.14
130,2018-10-22,7380,7690,7350,7650,207235,4.51
131,2018-10-23,7650,7700,7270,7290,240667,-4.71
132,2018-10-24,7330,7500,7190,7240,157618,-0.69
133,2018-10-25,7010,7160,6780,6920,233635,-4.42
134,2018-10-26,6970,7020,6550,6560,203717,-5.2
135,2018-10-29,6500,6660,6000,6090,277053,-7.16
136,2018-10-30,5910,6170,5740,6170,365219,1.31
137,2018-10-31,6240,6790,6100,6570,229882,6.48
138,2018-11-01,6610,6900,6420,6420,124883,-2.28
139,2018-11-02,6470,7000,6470,6980,245224,8.72
140,2018-11-05,6980,7000,6750,6950,105464,-0.43
141,2018-11-06,7050,7060,6850,7060,111281,1.58
142,2018-11-07,7140,7460,6910,6990,254136,-0.99
143,2018-11-08,7120,7270,7020,7120,118726,1.86
144,2018-11-09,7120,7120,6820,6900,114311,-3.09
145,2018-11-12,6740,6910,6690,6800,93838,-1.45
146,2018-11-13,6580,6720,6450,6700,86564,-1.47
147,2018-11-14,6700,6810,6550,6620,71614,-1.19
148,2018-11-15,6700,6810,6530,6790,83078,2.57
149,2018-11-16,6800,7530,6730,7280,590170,7.22
150,2018-11-19,7390,7590,7250,7270,214206,-0.14
151,2018-11-20,7060,7410,7060,7230,155421,-0.55
152,2018-11-21,7140,7210,6760,6930,325779,-4.15
153,2018-11-22,6950,6980,6800,6850,118185,-1.15
154,2018-11-23,6820,6960,6800,6960,120876,1.61
155,2018-11-26,7010,7480,6970,7300,343180,4.89
156,2018-11-27,7360,7470,7170,7270,153702,-0.41
157,2018-11-28,7360,7750,7290,7690,530771,5.78
158,2018-11-29,7690,8010,7550,7960,486456,3.51
159,2018-11-30,7950,8520,7890,8200,932178,3.02
160,2018-12-03,8240,8260,7970,8210,287195,0.12
161,2018-12-04,8200,8200,7870,7890,244840,-3.9
162,2018-12-05,7700,7930,7650,7860,131278,-0.38
163,2018-12-06,7860,7860,7300,7340,270427,-6.62
164,2018-12-07,7410,7530,7320,7450,109944,1.5
165,2018-12-10,7290,7470,7130,7140,148655,-4.16
166,2018-12-11,7110,7570,6990,7440,191474,4.2
167,2018-12-12,7430,7620,7370,7560,137118,1.61
168,2018-12-13,7540,7550,7390,7390,91705,-2.25
169,2018-12-14,7390,7450,7000,7050,154146,-4.6
170,2018-12-17,7040,7100,6820,6860,118435,-2.7
171,2018-12-18,6860,6960,6740,6860,90963,0.0
172,2018-12-19,6820,7020,6820,6870,79720,0.15
173,2018-12-20,6900,7130,6800,6810,109152,-0.87
174,2018-12-21,6820,6880,6700,6700,103043,-1.62
175,2018-12-24,6650,6760,6600,6680,98736,-0.3
176,2018-12-26,6500,6650,6370,6490,136067,-2.84
177,2018-12-27,6590,6800,6500,6700,96772,3.24
178,2018-12-28,6800,6810,6560,6730,121284,0.45
179,2019-01-02,6750,6810,6520,6580,70956,-2.23
180,2019-01-03,6680,6680,6200,6230,205668,-5.32
181,2019-01-04,6200,6320,6060,6260,73327,0.48
182,2019-01-07,6410,6410,6220,6250,92008,-0.16
183,2019-01-08,6350,6450,6260,6280,80590,0.48
184,2019-01-09,6370,6510,6360,6450,81193,2.71
185,2019-01-10,6480,6800,6480,6590,158105,2.17
186,2019-01-11,6600,6650,6500,6600,57713,0.15
187,2019-01-14,6700,6760,6590,6730,86917,1.97
188,2019-01-15,6640,6770,6630,6720,47967,-0.15
189,2019-01-16,6700,6790,6660,6680,43145,-0.6
190,2019-01-17,6700,6720,6520,6600,68702,-1.2
191,2019-01-18,6550,7200,6550,6870,345526,4.09
192,2019-01-21,6960,7100,6900,6920,113092,0.73
193,2019-01-22,7040,7040,6770,7030,150010,1.59
194,2019-01-23,7070,7310,6950,7120,243343,1.28
195,2019-01-24,7170,7330,7120,7190,134074,0.98
196,2019-01-25,7260,7260,7090,7130,110384,-0.83
197,2019-01-28,7200,7200,6970,6980,194583,-2.1
198,2019-01-29,7060,7490,6950,7040,285086,0.86
